Index,Syllable,Character Slot 1,Character Slot 2,Character Slot 3
1,가,ㄱ,ㅏ,
2,각,ㄱ,ㅏ,ㄱ
3,갂,ㄱ,ㅏ,ㄲ
4,갃,ㄱ,ㅏ,ㄳ
5,간,ㄱ,ㅏ,ㄴ
6,갅,ㄱ,ㅏ,ㄵ
7,갆,ㄱ,ㅏ,ㄶ
8,갇,ㄱ,ㅏ,ㄷ
9,갈,ㄱ,ㅏ,ㄹ
10,갉,ㄱ,ㅏ,ㄺ
11,갊,ㄱ,ㅏ,ㄻ
12,갋,ㄱ,ㅏ,ㄼ
13,갌,ㄱ,ㅏ,ㄽ
14,갍,ㄱ,ㅏ,ㄾ
15,갎,ㄱ,ㅏ,ㄿ
16,갏,ㄱ,ㅏ,ㅀ
17,감,ㄱ,ㅏ,ㅁ
18,갑,ㄱ,ㅏ,ㅂ
19,값,ㄱ,ㅏ,ㅄ
20,갓,ㄱ,ㅏ,ㅅ
21,갔,ㄱ,ㅏ,ㅆ
22,강,ㄱ,ㅏ,ㅇ
23,갖,ㄱ,ㅏ,ㅈ
24,갗,ㄱ,ㅏ,ㅊ
25,갘,ㄱ,ㅏ,ㅋ
26,같,ㄱ,ㅏ,ㅌ
27,갚,ㄱ,ㅏ,ㅍ
28,갛,ㄱ,ㅏ,ㅎ
29,개,ㄱ,ㅐ,
30,객,ㄱ,ㅐ,ㄱ
31,갞,ㄱ,ㅐ,ㄲ
32,갟,ㄱ,ㅐ,ㄳ
33,갠,ㄱ,ㅐ,ㄴ
34,갡,ㄱ,ㅐ,ㄵ
35,갢,ㄱ,ㅐ,ㄶ
36,갣,ㄱ,ㅐ,ㄷ
37,갤,ㄱ,ㅐ,ㄹ
38,갥,ㄱ,ㅐ,ㄺ
39,갦,ㄱ,ㅐ,ㄻ
40,갧,ㄱ,ㅐ,ㄼ
41,갨,ㄱ,ㅐ,ㄽ
42,갩,ㄱ,ㅐ,ㄾ
43,갪,ㄱ,ㅐ,ㄿ
44,갫,ㄱ,ㅐ,ㅀ
45,갬,ㄱ,ㅐ,ㅁ
46,갭,ㄱ,ㅐ,ㅂ
47,갮,ㄱ,ㅐ,ㅄ
48,갯,ㄱ,ㅐ,ㅅ
49,갰,ㄱ,ㅐ,ㅆ
50,갱,ㄱ,ㅐ,ㅇ
51,갲,ㄱ,ㅐ,ㅈ
52,갳,ㄱ,ㅐ,ㅊ
53,갴,ㄱ,ㅐ,ㅋ
54,갵,ㄱ,ㅐ,ㅌ
55,갶,ㄱ,ㅐ,ㅍ
56,갷,ㄱ,ㅐ,ㅎ
57,갸,ㄱ,ㅑ,
58,갹,ㄱ,ㅑ,ㄱ
59,갺,ㄱ,ㅑ,ㄲ
60,갻,ㄱ,ㅑ,ㄳ
61,갼,ㄱ,ㅑ,ㄴ
62,갽,ㄱ,ㅑ,ㄵ
63,갾,ㄱ,ㅑ,ㄶ
64,갿,ㄱ,ㅑ,ㄷ
65,걀,ㄱ,ㅑ,ㄹ
66,걁,ㄱ,ㅑ,ㄺ
67,걂,ㄱ,ㅑ,ㄻ
68,걃,ㄱ,ㅑ,ㄼ
69,걄,ㄱ,ㅑ,ㄽ
70,걅,ㄱ,ㅑ,ㄾ
71,걆,ㄱ,ㅑ,ㄿ
72,걇,ㄱ,ㅑ,ㅀ
73,걈,ㄱ,ㅑ,ㅁ
74,걉,ㄱ,ㅑ,ㅂ
75,걊,ㄱ,ㅑ,ㅄ
76,걋,ㄱ,ㅑ,ㅅ
77,걌,ㄱ,ㅑ,ㅆ
78,걍,ㄱ,ㅑ,ㅇ
79,걎,ㄱ,ㅑ,ㅈ
80,걏,ㄱ,ㅑ,ㅊ
81,걐,ㄱ,ㅑ,ㅋ
82,걑,ㄱ,ㅑ,ㅌ
83,걒,ㄱ,ㅑ,ㅍ
84,걓,ㄱ,ㅑ,ㅎ
85,걔,ㄱ,ㅒ,
86,걕,ㄱ,ㅒ,ㄱ
87,걖,ㄱ,ㅒ,ㄲ
88,걗,ㄱ,ㅒ,ㄳ
89,걘,ㄱ,ㅒ,ㄴ
90,걙,ㄱ,ㅒ,ㄵ
91,걚,ㄱ,ㅒ,ㄶ
92,걛,ㄱ,ㅒ,ㄷ
93,걜,ㄱ,ㅒ,ㄹ
94,걝,ㄱ,ㅒ,ㄺ
95,걞,ㄱ,ㅒ,ㄻ
96,걟,ㄱ,ㅒ,ㄼ
97,걠,ㄱ,ㅒ,ㄽ
98,걡,ㄱ,ㅒ,ㄾ
99,걢,ㄱ,ㅒ,ㄿ
100,걣,ㄱ,ㅒ,ㅀ
101,걤,ㄱ,ㅒ,ㅁ
102,걥,ㄱ,ㅒ,ㅂ
103,걦,ㄱ,ㅒ,ㅄ
104,걧,ㄱ,ㅒ,ㅅ
105,걨,ㄱ,ㅒ,ㅆ
106,걩,ㄱ,ㅒ,ㅇ
107,걪,ㄱ,ㅒ,ㅈ
108,걫,ㄱ,ㅒ,ㅊ
109,걬,ㄱ,ㅒ,ㅋ
110,걭,ㄱ,ㅒ,ㅌ
111,걮,ㄱ,ㅒ,ㅍ
112,걯,ㄱ,ㅒ,ㅎ
113,거,ㄱ,ㅓ,
114,걱,ㄱ,ㅓ,ㄱ
115,걲,ㄱ,ㅓ,ㄲ
116,걳,ㄱ,ㅓ,ㄳ
117,건,ㄱ,ㅓ,ㄴ
118,걵,ㄱ,ㅓ,ㄵ
119,걶,ㄱ,ㅓ,ㄶ
120,걷,ㄱ,ㅓ,ㄷ
121,걸,ㄱ,ㅓ,ㄹ
122,걹,ㄱ,ㅓ,ㄺ
123,걺,ㄱ,ㅓ,ㄻ
124,걻,ㄱ,ㅓ,ㄼ
125,걼,ㄱ,ㅓ,ㄽ
126,걽,ㄱ,ㅓ,ㄾ
127,걾,ㄱ,ㅓ,ㄿ
128,걿,ㄱ,ㅓ,ㅀ
129,검,ㄱ,ㅓ,ㅁ
130,겁,ㄱ,ㅓ,ㅂ
131,겂,ㄱ,ㅓ,ㅄ
132,것,ㄱ,ㅓ,ㅅ
133,겄,ㄱ,ㅓ,ㅆ
134,겅,ㄱ,ㅓ,ㅇ
135,겆,ㄱ,ㅓ,ㅈ
136,겇,ㄱ,ㅓ,ㅊ
137,겈,ㄱ,ㅓ,ㅋ
138,겉,ㄱ,ㅓ,ㅌ
139,겊,ㄱ,ㅓ,ㅍ
140,겋,ㄱ,ㅓ,ㅎ
141,게,ㄱ,ㅔ,
142,겍,ㄱ,ㅔ,ㄱ
143,겎,ㄱ,ㅔ,ㄲ
144,겏,ㄱ,ㅔ,ㄳ
145,겐,ㄱ,ㅔ,ㄴ
146,겑,ㄱ,ㅔ,ㄵ
147,겒,ㄱ,ㅔ,ㄶ
148,겓,ㄱ,ㅔ,ㄷ
149,겔,ㄱ,ㅔ,ㄹ
150,겕,ㄱ,ㅔ,ㄺ
151,겖,ㄱ,ㅔ,ㄻ
152,겗,ㄱ,ㅔ,ㄼ
153,겘,ㄱ,ㅔ,ㄽ
154,겙,ㄱ,ㅔ,ㄾ
155,겚,ㄱ,ㅔ,ㄿ
156,겛,ㄱ,ㅔ,ㅀ
157,겜,ㄱ,ㅔ,ㅁ
158,겝,ㄱ,ㅔ,ㅂ
159,겞,ㄱ,ㅔ,ㅄ
160,겟,ㄱ,ㅔ,ㅅ
161,겠,ㄱ,ㅔ,ㅆ
162,겡,ㄱ,ㅔ,ㅇ
163,겢,ㄱ,ㅔ,ㅈ
164,겣,ㄱ,ㅔ,ㅊ
165,겤,ㄱ,ㅔ,ㅋ
166,겥,ㄱ,ㅔ,ㅌ
167,겦,ㄱ,ㅔ,ㅍ
168,겧,ㄱ,ㅔ,ㅎ
169,겨,ㄱ,ㅕ,
170,격,ㄱ,ㅕ,ㄱ
171,겪,ㄱ,ㅕ,ㄲ
172,겫,ㄱ,ㅕ,ㄳ
173,견,ㄱ,ㅕ,ㄴ
174,겭,ㄱ,ㅕ,ㄵ
175,겮,ㄱ,ㅕ,ㄶ
176,겯,ㄱ,ㅕ,ㄷ
177,결,ㄱ,ㅕ,ㄹ
178,겱,ㄱ,ㅕ,ㄺ
179,겲,ㄱ,ㅕ,ㄻ
180,겳,ㄱ,ㅕ,ㄼ
181,겴,ㄱ,ㅕ,ㄽ
182,겵,ㄱ,ㅕ,ㄾ
183,겶,ㄱ,ㅕ,ㄿ
184,겷,ㄱ,ㅕ,ㅀ
185,겸,ㄱ,ㅕ,ㅁ
186,겹,ㄱ,ㅕ,ㅂ
187,겺,ㄱ,ㅕ,ㅄ
188,겻,ㄱ,ㅕ,ㅅ
189,겼,ㄱ,ㅕ,ㅆ
190,경,ㄱ,ㅕ,ㅇ
191,겾,ㄱ,ㅕ,ㅈ
192,겿,ㄱ,ㅕ,ㅊ
193,곀,ㄱ,ㅕ,ㅋ
194,곁,ㄱ,ㅕ,ㅌ
195,곂,ㄱ,ㅕ,ㅍ
196,곃,ㄱ,ㅕ,ㅎ
197,계,ㄱ,ㅖ,
198,곅,ㄱ,ㅖ,ㄱ
199,곆,ㄱ,ㅖ,ㄲ
200,곇,ㄱ,ㅖ,ㄳ
201,곈,ㄱ,ㅖ,ㄴ
202,곉,ㄱ,ㅖ,ㄵ
203,곊,ㄱ,ㅖ,ㄶ
204,곋,ㄱ,ㅖ,ㄷ
205,곌,ㄱ,ㅖ,ㄹ
206,곍,ㄱ,ㅖ,ㄺ
207,곎,ㄱ,ㅖ,ㄻ
208,곏,ㄱ,ㅖ,ㄼ
209,곐,ㄱ,ㅖ,ㄽ
210,곑,ㄱ,ㅖ,ㄾ
211,곒,ㄱ,ㅖ,ㄿ
212,곓,ㄱ,ㅖ,ㅀ
213,곔,ㄱ,ㅖ,ㅁ
214,곕,ㄱ,ㅖ,ㅂ
215,곖,ㄱ,ㅖ,ㅄ
216,곗,ㄱ,ㅖ,ㅅ
217,곘,ㄱ,ㅖ,ㅆ
218,곙,ㄱ,ㅖ,ㅇ
219,곚,ㄱ,ㅖ,ㅈ
220,곛,ㄱ,ㅖ,ㅊ
221,곜,ㄱ,ㅖ,ㅋ
222,곝,ㄱ,ㅖ,ㅌ
223,곞,ㄱ,ㅖ,ㅍ
224,곟,ㄱ,ㅖ,ㅎ
225,고,ㄱ,ㅗ,
226,곡,ㄱ,ㅗ,ㄱ
227,곢,ㄱ,ㅗ,ㄲ
228,곣,ㄱ,ㅗ,ㄳ
229,곤,ㄱ,ㅗ,ㄴ
230,곥,ㄱ,ㅗ,ㄵ
231,곦,ㄱ,ㅗ,ㄶ
232,곧,ㄱ,ㅗ,ㄷ
233,골,ㄱ,ㅗ,ㄹ
234,곩,ㄱ,ㅗ,ㄺ
235,곪,ㄱ,ㅗ,ㄻ
236,곫,ㄱ,ㅗ,ㄼ
237,곬,ㄱ,ㅗ,ㄽ
238,곭,ㄱ,ㅗ,ㄾ
239,곮,ㄱ,ㅗ,ㄿ
240,곯,ㄱ,ㅗ,ㅀ
241,곰,ㄱ,ㅗ,ㅁ
242,곱,ㄱ,ㅗ,ㅂ
243,곲,ㄱ,ㅗ,ㅄ
244,곳,ㄱ,ㅗ,ㅅ
245,곴,ㄱ,ㅗ,ㅆ
246,공,ㄱ,ㅗ,ㅇ
247,곶,ㄱ,ㅗ,ㅈ
248,곷,ㄱ,ㅗ,ㅊ
249,곸,ㄱ,ㅗ,ㅋ
250,곹,ㄱ,ㅗ,ㅌ
251,곺,ㄱ,ㅗ,ㅍ
252,곻,ㄱ,ㅗ,ㅎ
253,과,ㄱ,ㅘ,
254,곽,ㄱ,ㅘ,ㄱ
255,곾,ㄱ,ㅘ,ㄲ
256,곿,ㄱ,ㅘ,ㄳ
257,관,ㄱ,ㅘ,ㄴ
258,괁,ㄱ,ㅘ,ㄵ
259,괂,ㄱ,ㅘ,ㄶ
260,괃,ㄱ,ㅘ,ㄷ
261,괄,ㄱ,ㅘ,ㄹ
262,괅,ㄱ,ㅘ,ㄺ
263,괆,ㄱ,ㅘ,ㄻ
264,괇,ㄱ,ㅘ,ㄼ
265,괈,ㄱ,ㅘ,ㄽ
266,괉,ㄱ,ㅘ,ㄾ
267,괊,ㄱ,ㅘ,ㄿ
268,괋,ㄱ,ㅘ,ㅀ
269,괌,ㄱ,ㅘ,ㅁ
270,괍,ㄱ,ㅘ,ㅂ
271,괎,ㄱ,ㅘ,ㅄ
272,괏,ㄱ,ㅘ,ㅅ
273,괐,ㄱ,ㅘ,ㅆ
274,광,ㄱ,ㅘ,ㅇ
275,괒,ㄱ,ㅘ,ㅈ
276,괓,ㄱ,ㅘ,ㅊ
277,괔,ㄱ,ㅘ,ㅋ
278,괕,ㄱ,ㅘ,ㅌ
279,괖,ㄱ,ㅘ,ㅍ
280,괗,ㄱ,ㅘ,ㅎ
281,괘,ㄱ,ㅙ,
282,괙,ㄱ,ㅙ,ㄱ
283,괚,ㄱ,ㅙ,ㄲ
284,괛,ㄱ,ㅙ,ㄳ
285,괜,ㄱ,ㅙ,ㄴ
286,괝,ㄱ,ㅙ,ㄵ
287,괞,ㄱ,ㅙ,ㄶ
288,괟,ㄱ,ㅙ,ㄷ
289,괠,ㄱ,ㅙ,ㄹ
290,괡,ㄱ,ㅙ,ㄺ
291,괢,ㄱ,ㅙ,ㄻ
292,괣,ㄱ,ㅙ,ㄼ
293,괤,ㄱ,ㅙ,ㄽ
294,괥,ㄱ,ㅙ,ㄾ
295,괦,ㄱ,ㅙ,ㄿ
296,괧,ㄱ,ㅙ,ㅀ
297,괨,ㄱ,ㅙ,ㅁ
298,괩,ㄱ,ㅙ,ㅂ
299,괪,ㄱ,ㅙ,ㅄ
300,괫,ㄱ,ㅙ,ㅅ
301,괬,ㄱ,ㅙ,ㅆ
302,괭,ㄱ,ㅙ,ㅇ
303,괮,ㄱ,ㅙ,ㅈ
304,괯,ㄱ,ㅙ,ㅊ
305,괰,ㄱ,ㅙ,ㅋ
306,괱,ㄱ,ㅙ,ㅌ
307,괲,ㄱ,ㅙ,ㅍ
308,괳,ㄱ,ㅙ,ㅎ
309,괴,ㄱ,ㅚ,
310,괵,ㄱ,ㅚ,ㄱ
311,괶,ㄱ,ㅚ,ㄲ
312,괷,ㄱ,ㅚ,ㄳ
313,괸,ㄱ,ㅚ,ㄴ
314,괹,ㄱ,ㅚ,ㄵ
315,괺,ㄱ,ㅚ,ㄶ
316,괻,ㄱ,ㅚ,ㄷ
317,괼,ㄱ,ㅚ,ㄹ
318,괽,ㄱ,ㅚ,ㄺ
319,괾,ㄱ,ㅚ,ㄻ
320,괿,ㄱ,ㅚ,ㄼ
321,굀,ㄱ,ㅚ,ㄽ
322,굁,ㄱ,ㅚ,ㄾ
323,굂,ㄱ,ㅚ,ㄿ
324,굃,ㄱ,ㅚ,ㅀ
325,굄,ㄱ,ㅚ,ㅁ
326,굅,ㄱ,ㅚ,ㅂ
327,굆,ㄱ,ㅚ,ㅄ
328,굇,ㄱ,ㅚ,ㅅ
329,굈,ㄱ,ㅚ,ㅆ
330,굉,ㄱ,ㅚ,ㅇ
331,굊,ㄱ,ㅚ,ㅈ
332,굋,ㄱ,ㅚ,ㅊ
333,굌,ㄱ,ㅚ,ㅋ
334,굍,ㄱ,ㅚ,ㅌ
335,굎,ㄱ,ㅚ,ㅍ
336,굏,ㄱ,ㅚ,ㅎ
337,교,ㄱ,ㅛ,
338,굑,ㄱ,ㅛ,ㄱ
339,굒,ㄱ,ㅛ,ㄲ
340,굓,ㄱ,ㅛ,ㄳ
341,굔,ㄱ,ㅛ,ㄴ
342,굕,ㄱ,ㅛ,ㄵ
343,굖,ㄱ,ㅛ,ㄶ
344,굗,ㄱ,ㅛ,ㄷ
345,굘,ㄱ,ㅛ,ㄹ
346,굙,ㄱ,ㅛ,ㄺ
347,굚,ㄱ,ㅛ,ㄻ
348,굛,ㄱ,ㅛ,ㄼ
349,굜,ㄱ,ㅛ,ㄽ
350,굝,ㄱ,ㅛ,ㄾ
351,굞,ㄱ,ㅛ,ㄿ
352,굟,ㄱ,ㅛ,ㅀ
353,굠,ㄱ,ㅛ,ㅁ
354,굡,ㄱ,ㅛ,ㅂ
355,굢,ㄱ,ㅛ,ㅄ
356,굣,ㄱ,ㅛ,ㅅ
357,굤,ㄱ,ㅛ,ㅆ
358,굥,ㄱ,ㅛ,ㅇ
359,굦,ㄱ,ㅛ,ㅈ
360,굧,ㄱ,ㅛ,ㅊ
361,굨,ㄱ,ㅛ,ㅋ
362,굩,ㄱ,ㅛ,ㅌ
363,굪,ㄱ,ㅛ,ㅍ
364,굫,ㄱ,ㅛ,ㅎ
365,구,ㄱ,ㅜ,
366,국,ㄱ,ㅜ,ㄱ
367,굮,ㄱ,ㅜ,ㄲ
368,굯,ㄱ,ㅜ,ㄳ
369,군,ㄱ,ㅜ,ㄴ
370,굱,ㄱ,ㅜ,ㄵ
371,굲,ㄱ,ㅜ,ㄶ
372,굳,ㄱ,ㅜ,ㄷ
373,굴,ㄱ,ㅜ,ㄹ
374,굵,ㄱ,ㅜ,ㄺ
375,굶,ㄱ,ㅜ,ㄻ
376,굷,ㄱ,ㅜ,ㄼ
377,굸,ㄱ,ㅜ,ㄽ
378,굹,ㄱ,ㅜ,ㄾ
379,굺,ㄱ,ㅜ,ㄿ
380,굻,ㄱ,ㅜ,ㅀ
381,굼,ㄱ,ㅜ,ㅁ
382,굽,ㄱ,ㅜ,ㅂ
383,굾,ㄱ,ㅜ,ㅄ
384,굿,ㄱ,ㅜ,ㅅ
385,궀,ㄱ,ㅜ,ㅆ
386,궁,ㄱ,ㅜ,ㅇ
387,궂,ㄱ,ㅜ,ㅈ
388,궃,ㄱ,ㅜ,ㅊ
389,궄,ㄱ,ㅜ,ㅋ
390,궅,ㄱ,ㅜ,ㅌ
391,궆,ㄱ,ㅜ,ㅍ
392,궇,ㄱ,ㅜ,ㅎ
393,궈,ㄱ,ㅝ,
394,궉,ㄱ,ㅝ,ㄱ
395,궊,ㄱ,ㅝ,ㄲ
396,궋,ㄱ,ㅝ,ㄳ
397,권,ㄱ,ㅝ,ㄴ
398,궍,ㄱ,ㅝ,ㄵ
399,궎,ㄱ,ㅝ,ㄶ
400,궏,ㄱ,ㅝ,ㄷ
401,궐,ㄱ,ㅝ,ㄹ
402,궑,ㄱ,ㅝ,ㄺ
403,궒,ㄱ,ㅝ,ㄻ
404,궓,ㄱ,ㅝ,ㄼ
405,궔,ㄱ,ㅝ,ㄽ
406,궕,ㄱ,ㅝ,ㄾ
407,궖,ㄱ,ㅝ,ㄿ
408,궗,ㄱ,ㅝ,ㅀ
409,궘,ㄱ,ㅝ,ㅁ
410,궙,ㄱ,ㅝ,ㅂ
411,궚,ㄱ,ㅝ,ㅄ
412,궛,ㄱ,ㅝ,ㅅ
413,궜,ㄱ,ㅝ,ㅆ
414,궝,ㄱ,ㅝ,ㅇ
415,궞,ㄱ,ㅝ,ㅈ
416,궟,ㄱ,ㅝ,ㅊ
417,궠,ㄱ,ㅝ,ㅋ
418,궡,ㄱ,ㅝ,ㅌ
419,궢,ㄱ,ㅝ,ㅍ
420,궣,ㄱ,ㅝ,ㅎ
421,궤,ㄱ,ㅞ,
422,궥,ㄱ,ㅞ,ㄱ
423,궦,ㄱ,ㅞ,ㄲ
424,궧,ㄱ,ㅞ,ㄳ
425,궨,ㄱ,ㅞ,ㄴ
426,궩,ㄱ,ㅞ,ㄵ
427,궪,ㄱ,ㅞ,ㄶ
428,궫,ㄱ,ㅞ,ㄷ
429,궬,ㄱ,ㅞ,ㄹ
430,궭,ㄱ,ㅞ,ㄺ
431,궮,ㄱ,ㅞ,ㄻ
432,궯,ㄱ,ㅞ,ㄼ
433,궰,ㄱ,ㅞ,ㄽ
434,궱,ㄱ,ㅞ,ㄾ
435,궲,ㄱ,ㅞ,ㄿ
436,궳,ㄱ,ㅞ,ㅀ
437,궴,ㄱ,ㅞ,ㅁ
438,궵,ㄱ,ㅞ,ㅂ
439,궶,ㄱ,ㅞ,ㅄ
440,궷,ㄱ,ㅞ,ㅅ
441,궸,ㄱ,ㅞ,ㅆ
442,궹,ㄱ,ㅞ,ㅇ
443,궺,ㄱ,ㅞ,ㅈ
444,궻,ㄱ,ㅞ,ㅊ
445,궼,ㄱ,ㅞ,ㅋ
446,궽,ㄱ,ㅞ,ㅌ
447,궾,ㄱ,ㅞ,ㅍ
448,궿,ㄱ,ㅞ,ㅎ
449,귀,ㄱ,ㅟ,
450,귁,ㄱ,ㅟ,ㄱ
451,귂,ㄱ,ㅟ,ㄲ
452,귃,ㄱ,ㅟ,ㄳ
453,귄,ㄱ,ㅟ,ㄴ
454,귅,ㄱ,ㅟ,ㄵ
455,귆,ㄱ,ㅟ,ㄶ
456,귇,ㄱ,ㅟ,ㄷ
457,귈,ㄱ,ㅟ,ㄹ
458,귉,ㄱ,ㅟ,ㄺ
459,귊,ㄱ,ㅟ,ㄻ
460,귋,ㄱ,ㅟ,ㄼ
461,귌,ㄱ,ㅟ,ㄽ
462,귍,ㄱ,ㅟ,ㄾ
463,귎,ㄱ,ㅟ,ㄿ
464,귏,ㄱ,ㅟ,ㅀ
465,귐,ㄱ,ㅟ,ㅁ
466,귑,ㄱ,ㅟ,ㅂ
467,귒,ㄱ,ㅟ,ㅄ
468,귓,ㄱ,ㅟ,ㅅ
469,귔,ㄱ,ㅟ,ㅆ
470,귕,ㄱ,ㅟ,ㅇ
471,귖,ㄱ,ㅟ,ㅈ
472,귗,ㄱ,ㅟ,ㅊ
473,귘,ㄱ,ㅟ,ㅋ
474,귙,ㄱ,ㅟ,ㅌ
475,귚,ㄱ,ㅟ,ㅍ
476,귛,ㄱ,ㅟ,ㅎ
477,규,ㄱ,ㅠ,
478,귝,ㄱ,ㅠ,ㄱ
479,귞,ㄱ,ㅠ,ㄲ
480,귟,ㄱ,ㅠ,ㄳ
481,균,ㄱ,ㅠ,ㄴ
482,귡,ㄱ,ㅠ,ㄵ
483,귢,ㄱ,ㅠ,ㄶ
484,귣,ㄱ,ㅠ,ㄷ
485,귤,ㄱ,ㅠ,ㄹ
486,귥,ㄱ,ㅠ,ㄺ
487,귦,ㄱ,ㅠ,ㄻ
488,귧,ㄱ,ㅠ,ㄼ
489,귨,ㄱ,ㅠ,ㄽ
490,귩,ㄱ,ㅠ,ㄾ
491,귪,ㄱ,ㅠ,ㄿ
492,귫,ㄱ,ㅠ,ㅀ
493,귬,ㄱ,ㅠ,ㅁ
494,귭,ㄱ,ㅠ,ㅂ
495,귮,ㄱ,ㅠ,ㅄ
496,귯,ㄱ,ㅠ,ㅅ
497,귰,ㄱ,ㅠ,ㅆ
498,귱,ㄱ,ㅠ,ㅇ
499,귲,ㄱ,ㅠ,ㅈ
500,귳,ㄱ,ㅠ,ㅊ
501,귴,ㄱ,ㅠ,ㅋ
502,귵,ㄱ,ㅠ,ㅌ
503,귶,ㄱ,ㅠ,ㅍ
504,귷,ㄱ,ㅠ,ㅎ
505,그,ㄱ,ㅡ,
506,극,ㄱ,ㅡ,ㄱ
507,귺,ㄱ,ㅡ,ㄲ
508,귻,ㄱ,ㅡ,ㄳ
509,근,ㄱ,ㅡ,ㄴ
510,귽,ㄱ,ㅡ,ㄵ
511,귾,ㄱ,ㅡ,ㄶ
512,귿,ㄱ,ㅡ,ㄷ
513,글,ㄱ,ㅡ,ㄹ
514,긁,ㄱ,ㅡ,ㄺ
515,긂,ㄱ,ㅡ,ㄻ
516,긃,ㄱ,ㅡ,ㄼ
517,긄,ㄱ,ㅡ,ㄽ
518,긅,ㄱ,ㅡ,ㄾ
519,긆,ㄱ,ㅡ,ㄿ
520,긇,ㄱ,ㅡ,ㅀ
521,금,ㄱ,ㅡ,ㅁ
522,급,ㄱ,ㅡ,ㅂ
523,긊,ㄱ,ㅡ,ㅄ
524,긋,ㄱ,ㅡ,ㅅ
525,긌,ㄱ,ㅡ,ㅆ
526,긍,ㄱ,ㅡ,ㅇ
527,긎,ㄱ,ㅡ,ㅈ
528,긏,ㄱ,ㅡ,ㅊ
529,긐,ㄱ,ㅡ,ㅋ
530,긑,ㄱ,ㅡ,ㅌ
531,긒,ㄱ,ㅡ,ㅍ
532,긓,ㄱ,ㅡ,ㅎ
533,긔,ㄱ,ㅢ,
534,긕,ㄱ,ㅢ,ㄱ
535,긖,ㄱ,ㅢ,ㄲ
536,긗,ㄱ,ㅢ,ㄳ
537,긘,ㄱ,ㅢ,ㄴ
538,긙,ㄱ,ㅢ,ㄵ
539,긚,ㄱ,ㅢ,ㄶ
540,긛,ㄱ,ㅢ,ㄷ
541,긜,ㄱ,ㅢ,ㄹ
542,긝,ㄱ,ㅢ,ㄺ
543,긞,ㄱ,ㅢ,ㄻ
544,긟,ㄱ,ㅢ,ㄼ
545,긠,ㄱ,ㅢ,ㄽ
546,긡,ㄱ,ㅢ,ㄾ
547,긢,ㄱ,ㅢ,ㄿ
548,긣,ㄱ,ㅢ,ㅀ
549,긤,ㄱ,ㅢ,ㅁ
550,긥,ㄱ,ㅢ,ㅂ
551,긦,ㄱ,ㅢ,ㅄ
552,긧,ㄱ,ㅢ,ㅅ
553,긨,ㄱ,ㅢ,ㅆ
554,긩,ㄱ,ㅢ,ㅇ
555,긪,ㄱ,ㅢ,ㅈ
556,긫,ㄱ,ㅢ,ㅊ
557,긬,ㄱ,ㅢ,ㅋ
558,긭,ㄱ,ㅢ,ㅌ
559,긮,ㄱ,ㅢ,ㅍ
560,긯,ㄱ,ㅢ,ㅎ
561,기,ㄱ,ㅣ,
562,긱,ㄱ,ㅣ,ㄱ
563,긲,ㄱ,ㅣ,ㄲ
564,긳,ㄱ,ㅣ,ㄳ
565,긴,ㄱ,ㅣ,ㄴ
566,긵,ㄱ,ㅣ,ㄵ
567,긶,ㄱ,ㅣ,ㄶ
568,긷,ㄱ,ㅣ,ㄷ
569,길,ㄱ,ㅣ,ㄹ
570,긹,ㄱ,ㅣ,ㄺ
571,긺,ㄱ,ㅣ,ㄻ
572,긻,ㄱ,ㅣ,ㄼ
573,긼,ㄱ,ㅣ,ㄽ
574,긽,ㄱ,ㅣ,ㄾ
575,긾,ㄱ,ㅣ,ㄿ
576,긿,ㄱ,ㅣ,ㅀ
577,김,ㄱ,ㅣ,ㅁ
578,깁,ㄱ,ㅣ,ㅂ
579,깂,ㄱ,ㅣ,ㅄ
580,깃,ㄱ,ㅣ,ㅅ
581,깄,ㄱ,ㅣ,ㅆ
582,깅,ㄱ,ㅣ,ㅇ
583,깆,ㄱ,ㅣ,ㅈ
584,깇,ㄱ,ㅣ,ㅊ
585,깈,ㄱ,ㅣ,ㅋ
586,깉,ㄱ,ㅣ,ㅌ
587,깊,ㄱ,ㅣ,ㅍ
588,깋,ㄱ,ㅣ,ㅎ
589,까,ㄲ,ㅏ,
590,깍,ㄲ,ㅏ,ㄱ
591,깎,ㄲ,ㅏ,ㄲ
592,깏,ㄲ,ㅏ,ㄳ
593,깐,ㄲ,ㅏ,ㄴ
594,깑,ㄲ,ㅏ,ㄵ
595,깒,ㄲ,ㅏ,ㄶ
596,깓,ㄲ,ㅏ,ㄷ
597,깔,ㄲ,ㅏ,ㄹ
598,깕,ㄲ,ㅏ,ㄺ
599,깖,ㄲ,ㅏ,ㄻ
600,깗,ㄲ,ㅏ,ㄼ
601,깘,ㄲ,ㅏ,ㄽ
602,깙,ㄲ,ㅏ,ㄾ
603,깚,ㄲ,ㅏ,ㄿ
604,깛,ㄲ,ㅏ,ㅀ
605,깜,ㄲ,ㅏ,ㅁ
606,깝,ㄲ,ㅏ,ㅂ
607,깞,ㄲ,ㅏ,ㅄ
608,깟,ㄲ,ㅏ,ㅅ
609,깠,ㄲ,ㅏ,ㅆ
610,깡,ㄲ,ㅏ,ㅇ
611,깢,ㄲ,ㅏ,ㅈ
612,깣,ㄲ,ㅏ,ㅊ
613,깤,ㄲ,ㅏ,ㅋ
