Conference,School,Primary,Secondary,Third,Fourth,Kevin,Old Conference,School Name,City,State,Primary-R,Primary-G,Primary-B,Secondary-R,Secondary-G,Secondary-B,Third-R,Third-G,Third-B,Fourth-R,Fourth-G,Fourth-B
Big Ten,UCLA,2D68C4,F2A900,,,50,Pac 12,University of California-Los Angeles,Los Angeles,California,45,104,196,242,169,0,,,,,,
Big Ten,USC,990000,FFC72C,,,51,Pac 12,University of Southern California,Los Angeles,California,153,0,0,255,199,44,,,,,,
Big Ten,Washington,4B2E83,B7A57A,85754D,,52,Pac 12,University of Washington-Seattle Campus,Seattle,Washington,75,46,131,183,165,122,133,117,77,,,
Pac 12,Oregon State,DC4405,000000,FFFFFF,,53,Pac 12,Oregon State University,Corvallis,Oregon,220,68,5,0,0,0,255,255,255,,,
Pac 12,Washington State,981E32,5E6A71,,,54,Pac 12,Washington State University,Pullman,Washington,152,30,50,94,106,113,,,,,,
SEC,Alabama,9E1B32,828A8F,,,55,SEC,The University of Alabama,Tuscaloosa,Alabama,158,27,50,130,138,143,,,,,,
SEC,Arkansas,9D2235,FFFFFF,,,56,SEC,University of Arkansas,Fayetteville,Arkansas,157,34,53,255,255,255,,,,,,
SEC,Auburn,0C2340,E87722,,,57,SEC,Auburn University,Auburn,Alabama,12,35,64,232,119,34,,,,,,
SEC,Florida,0021A5,FA4616,,,58,SEC,University of Florida,Gainesville,Florida,0,33,165,250,70,22,,,,,,
SEC,Georgia,BA0C2F,000000,,,59,SEC,University of Georgia,Athens,Georgia,186,12,47,0,0,0,,,,,,
SEC,Kentucky,0033A0,FFFFFF,,,60,SEC,University of Kentucky,Lexington,Kentucky,0,51,160,255,255,255,,,,,,
SEC,LSU,461D7C,FDD023,,,61,SEC,Louisiana State University and Agricultural & Mechanical College,Baton Rouge,Louisiana,70,29,124,253,208,35,,,,,,
SEC,Mississippi State,660000,FFFFFF,,,62,SEC,Mississippi State University,Mississippi State,Mississippi,102,0,0,255,255,255,,,,,,
SEC,Mizzou,000000,F1B82D,,,63,SEC,University of Missouri-Columbia,Columbia,Missouri,0,0,0,241,184,45,,,,,,
SEC,Ole Miss,14213D,CE1126,006BA6,,64,SEC,University of Mississippi,University,Mississippi,20,33,61,206,17,38,0,107,166,,,
SEC,South Carolina,73000A,000000,,,65,SEC,University of South Carolina-Columbia,Columbia,South Carolina,115,0,10,0,0,0,,,,,,
SEC,Tennessee,FF8200,58595B,,,66,SEC,The University of Tennessee-Knoxville,Knoxville,Tennessee,255,130,0,88,89,91,,,,,,
SEC,Texas A&M,500000,FFFFFF,,,67,SEC,Texas A & M University-College Station,College Station,Texas,80,0,0,255,255,255,,,,,,
SEC,Vanderbilt,000000,866D4B,,,68,SEC,Vanderbilt University,Nashville,Tennessee,0,0,0,134,109,75,,,,,,
SEC,Oklahoma,841617,FDF9D8,,,69,Big 12,University of Oklahoma-Norman Campus,Norman,Oklahoma,132,22,23,253,249,216,,,,,,
SEC,Texas,BF5700,333F48,,,70,Big 12,The University of Texas at Austin,Austin,Texas,191,87,0,51,63,72,,,,,,
