Year,Ranking,Song,Album,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Kevin,SongID,AlbumID,Artist1ID,Artist2ID,Artist3ID,Artist4ID,Artist5ID,Artist6ID,ApproxGenre,Topic,Music Video,Album Year,Song Length
2016,19,Wasted,MKTO,MKTO,,,,,,19,https://open.spotify.com/track/5tajmvqHF6YW1iiUFzKpCB,https://open.spotify.com/album/5IenxFp0vpnXBUxPcwJtbE,https://open.spotify.com/artist/2l35CQqtYRh3d8ZIiBep4v,,,,,,Pop,,,2012,3:04
2016,20,Cough Syrup,Young the Giant (Special Edition),Young the Giant,,,,,,20,https://open.spotify.com/track/1UqhkbzB1kuFwt2iy4h29Q,https://open.spotify.com/album/2ww7MYrkExsljnKhcINDse,https://open.spotify.com/artist/4j56EQDQu5XnL7R3E9iFJT,,,,,,Alternative,https://www.youtube.com/watch?v=8LFWYsUtfV0,https://www.youtube.com/watch?v=UAsTlnjvetI,2011,4:09
2016,21,Cool Kids,Talking Dreams (Deluxe Version),Echosmith,,,,,,21,https://open.spotify.com/track/13P5rwmk2EsoFRIz9UCeh9,https://open.spotify.com/album/1oHY6eQmEG8skElDvFgKz2,https://open.spotify.com/artist/1PbBg2aYjWLKRk84zJK15x,,,,,,Pop,,,2013,3:57
2016,22,White Iverson,White Iverson,Post Malone,,,,,,22,https://open.spotify.com/track/2N0NifjyXAdMOB4KBGvBJ6,https://open.spotify.com/album/7ENlsUA8w1nfUSFtpACj1A,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60,,,,,,Rap,,,2015,4:15
2016,23,Me And My Broken Heart,Let The Road,Rixton,,,,,,23,https://open.spotify.com/track/1oew3nFNY3vMacJAsvry0S,https://open.spotify.com/album/02ae5i5UAoFrt2peVox9Xd,https://open.spotify.com/artist/0kkxsdcaWmWU2yWAqclDh4,,,,,,Love,,,2014,3:13
2016,24,"Too Little, Too Late",The High Road,JoJo,,,,,,24,https://open.spotify.com/track/6EEeAog1VBZ6FrYpJ2q3WF,https://open.spotify.com/album/570GLIlpWDeAeJgFHmanoG,https://open.spotify.com/artist/5xuNBZoM7z1Vv8IQ6uM0p6,,,,,,Pop,,,2006,3:41
2016,25,How To Love,Tha Carter IV (Deluxe),Lil Wayne,,,,,,25,https://open.spotify.com/track/4aX4Oycsk1fhHIee1zqsDe,https://open.spotify.com/album/1uuSC0RCJB3dSp8Mb6GflZ,https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865,,,,,,Rap,,,2011,4:00
2016,26,Headlines,Take Care (Deluxe),Drake,,,,,,26,https://open.spotify.com/track/7kfTqGMzIHFWeBeOJALzRf,https://open.spotify.com/album/63WdJvk8G9hxJn8u5rswNh,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,,,,,,Rap,,,2011,3:55
2016,27,Come Home,Dreaming Out Loud,OneRepublic,,,,,,27,https://open.spotify.com/track/0bJfgUyjfPJYqRgUxb12Eh,https://open.spotify.com/album/2KSpGeDoNjqCKg6HL8LAyI,https://open.spotify.com/artist/5Pwc4xIPtQLFEnJriah9YJ,,,,,,Alternative,,,2007,4:21
2016,28,Talk,Gravity,Against The Current,,,,,,28,https://open.spotify.com/track/57UeXVfGuRB5vs6b0hRD3y,https://open.spotify.com/album/5kQ5WsiDb3wzKOVCvvuaVr,https://open.spotify.com/artist/6yhD1KjhLxIETFF7vIRf8B,,,,,,Pop,,,2015,3:14
2016,29,Catch My Breath,"Alex Goot & Friends, Vol. 2",Alex Goot,ATC,,,,,29,https://open.spotify.com/track/65DkSJpZsPwADtd4ksSRxR,https://open.spotify.com/album/438AFMs8tB78Ozhgl271oE,https://open.spotify.com/artist/66Fb5gJ9SX2WGlqDLUpjux,https://open.spotify.com/artist/74ZHOTPP0eWWe9kLt8jHbP,,,,,Pop,,,2012,3:37
2016,30,Break Free,My Everything (Deluxe),Ariana Grande,Zedd,,,,,30,https://open.spotify.com/track/12KUFSHFgT0XCoiSlvdQi4,https://open.spotify.com/album/6EVYTRG1drKdO8OnIQBeEj,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,https://open.spotify.com/artist/2qxJFvFYMEDqd7ui6kSAcq,,,,,Pop,https://www.youtube.com/watch?v=L8eRzOYhLuw,https://www.youtube.com/watch?v=1s4-OFCBUGo&pp=ygUKI2FyaWFuYXdhbg%3D%3D,2014,3:34
2016,31,Sweater Weather,I'm Sorry…,The Neighbourhood,,,,,,31,https://open.spotify.com/track/4pGqFOfzvfe6avb9kbZicC,https://open.spotify.com/album/64uUQtKfndQguejYmA40lL,https://open.spotify.com/artist/77SW9BnxLY8rJ0RciFqkHh,,,,,,Alternative,,,2012,4:00
2016,32,Here Without You,Away From The Sun,3 Doors Down,,,,,,32,https://open.spotify.com/track/3NLrRZoMF0Lx6zTlYqeIo4,https://open.spotify.com/album/72olNArm75vOycSziqIX9Y,https://open.spotify.com/artist/2RTUTCvo6onsAnheUk3aL9,,,,,,Alternative,,,2002,3:58
2016,33,Trophies,Trophies,Young Money,Drake,,,,,33,https://open.spotify.com/track/1Kym30HhxluYlqAxyu1QqQ,https://open.spotify.com/album/4088GZifeJOZFyQMrH1OaT,https://open.spotify.com/artist/5OrB6Jhhrl9y2PK0pSV4VP,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,,,,,Rap,,,2014,3:08
2016,34,The Fighter - feat. Ryan Tedder,The Papercut Chronicles II,Gym Class Heroes,,,,,,34,https://open.spotify.com/track/77ZdAoTHYoF6Umo76HFD4m,https://open.spotify.com/album/2mumCpGmuE9iDeOvMx6XrB,https://open.spotify.com/artist/4IJczjB0fJ04gs4uvP0Fli,,,,,,Pop,,,2011,3:48
2016,35,Tapout,Tapout,Rich Gang,Lil Wayne,Birdman,Mack Maine,Nicki Minaj,Future,35,https://open.spotify.com/track/2kEDuZRwYUoQLIYKpQfKWa,https://open.spotify.com/album/4nEaSNXCDAGjotMFYrWnIl,https://open.spotify.com/artist/5pU9lKGn9IUnVvOCONrcIS,https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865,https://open.spotify.com/artist/35sCXuy5gN6Or69rZ9vqBs,https://open.spotify.com/artist/18AOdS1Qw4XXnQSiPJQr1B,https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh,https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i,Rap,,,2013,4:44
2016,36,Lights Down Low,Lights Down Low (Main Version),Maejor,Waka Flocka Flame,,,,,36,https://open.spotify.com/track/0hkR93a0LriV2CQUhSXw3h,https://open.spotify.com/album/4BV65TtMrkb0aUCTmkJEpS,https://open.spotify.com/artist/3XcCT5MPlQPWFTJyzXbfuX,https://open.spotify.com/artist/6f4XkbvYlXMH0QgVRzW0sM,,,,,Rap,,,2012,3:06
2016,37,Mad,Year Of The Gentleman (Bonus Track Edition),Ne-Yo,,,,,,37,https://open.spotify.com/track/6Hn9Uc1mMNfqChXU3txNke,https://open.spotify.com/album/6dTn9vJSxVTIGm4Cu5dH4x,https://open.spotify.com/artist/21E3waRsmPlU7jZsS13rcj,,,,,,Rap,,,2008,4:14
2016,38,Slum Anthem,Slum Anthem,K CAMP,,,,,,38,https://open.spotify.com/track/6225vlQNgif1W5dE5KN6Y6,https://open.spotify.com/album/1CE7PVOYrG97ENpHpgTpLb,https://open.spotify.com/artist/5bgfj5zUoWpyeVatGDjn6H,,,,,,Rap,,,2014,2:51
2016,39,Not Over You,"Alex Goot & Friends, Vol. 2",Alex Goot,ATC,,,,,39,https://open.spotify.com/track/08JluLs5JylvCoCgmNilWi,https://open.spotify.com/album/438AFMs8tB78Ozhgl271oE,https://open.spotify.com/artist/66Fb5gJ9SX2WGlqDLUpjux,https://open.spotify.com/artist/74ZHOTPP0eWWe9kLt8jHbP,,,,,Pop,,,2012,2:54
2016,40,Need You Now,Need You Now,Lady A,,,,,,40,https://open.spotify.com/track/11EX5yhxr9Ihl3IN1asrfK,https://open.spotify.com/album/3hnGcNi8oqGdwTm3CeniFA,https://open.spotify.com/artist/32WkQRZEVKSzVAAYqukAEA,,,,,,Country,,,2010,4:37
2016,41,Falling Slow,Unbreakable Smile,Tori Kelly,,,,,,41,https://open.spotify.com/track/2jotacrxKMZ96oSIYDb1C9,https://open.spotify.com/album/2mH2TVd6euTmrn9Pcw9XHS,https://open.spotify.com/artist/1vSN1fsvrzpbttOYGsliDr,,,,,,Love,,,2016,3:54
2016,42,The Stand,The Stand,Hillsong Young & Free,,,,,,42,https://open.spotify.com/track/6O44fZh9s6jHlJO6jDAGuZ,https://open.spotify.com/album/1Z1AWzi4XaPFpAQLRUphSg,https://open.spotify.com/artist/7m4gF38CPATtHrk5HS42WZ,,,,,,Worship,,,2014,4:06
2016,43,Somewhere Only We Know,The Best of Keane (Deluxe Edition),Keane,,,,,,43,https://open.spotify.com/track/7AQAlklmptrrkBSeujkXsD,https://open.spotify.com/album/6VYlEGQqJBMJR4vksRpM1d,https://open.spotify.com/artist/53A0W3U0s8diEn9RhXQhVz,,,,,,Alternative,,,2013,3:55
2016,44,0 To 100 / The Catch Up,0 To 100 / The Catch Up,Drake,,,,,,44,https://open.spotify.com/track/4jtyUzZm9WLc2AdaJ1dso7,https://open.spotify.com/album/5OkxLN5XaE9rLbgK2FuKBE,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,,,,,,Rap,https://www.youtube.com/watch?v=s0PZYWA4LoM,https://www.youtube.com/watch?v=s0PZYWA4LoM,2013,4:35
