Include,,,,,Run,Cooldown,TOTAL,,,,,Guess,,Notes,,,,,,,,,,,,,,,,
Location,Day,Month,Day,Date,Run Calories,Run Distance,Average Pace,Average Pace Kevin,MPH Kevin,Run Minutes,Run Seconds,Walk Calories,Walk Distance,Average Pace,Average Pace Kevin,MPH Kevin,Walk Minutes,Walk Seconds,Calories,Distance,Minutes,Seconds,Time,Kevin Intensity Meter,Town,Season,,Start Time,Notes,
Ike,Thursday,3,1,3/1/18,340,2.84,8:29,8:31,7.055,24,9,24,0.32,15:01,15:04,3.986,4,49,364,3.16,28,58,0:28:58,,School,Junior Spring I,,11:05 AM,Left achilles/ heel in much pain. Had to stop early,
Ike,Friday,3,2,3/2/18,126,1.05,8:30,8:35,7,9,0,10,0.14,15:01,14:18,4.2,2,0,136,1.19,11,0,0:11:00,,School,Junior Spring I,,8:45 PM,Left achilles/ heel in much pain. Had to stop early,
Ike,Saturday,3,3,3/3/18,443,3.71,8:21,8:22,7.18,31,0,24,0.33,15:04,15:10,3.96,5,0,467,4.04,36,0,0:36:00,,School,Junior Spring I,,11:10 AM,,
Ike,Sunday,3,4,3/4/18,447,3.75,7:59,8:00,7.5,30,0,24,0.33,14:58,15:10,3.96,5,0,471,4.08,35,0,0:35:00,,School,Junior Spring I,,7:30 PM,,
Outside,Monday,3,5,3/5/18,324,3.25,8:41,8:41,6.91,28,13,0,0,0,,,0,0,324,3.25,28,13,0:28:13,,School,Junior Spring I,,,Ran with Kassidy at practice. Achilles felt some pain. Much pain after practice,
,Tuesday,3,6,3/6/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring I,,,Off day,
,Wednesday,3,7,3/7/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring I,,,Off day,
Ike,Thursday,3,8,3/8/18,428,3.59,8:21,8:22,7.18,30,0,5,0.06,15:01,16:40,3.6,1,0,433,3.65,31,0,0:31:00,,School,Junior Spring I,,6:05 PM,Had to stop run early to poop. Couldn't even cool down. Pooped right before running too. Had milk for lunch,
Ike,Friday,3,9,3/9/18,679,5.68,8:15,8:17,7.251,47,0,24,0.34,15:01,14:43,4.08,5,0,703,6.02,52,0,0:52:00,,School,Junior Spring I,,11:10 AM,Tendon underneath right foot started hurting during 46th minute. No pain during the day though after run,
Ike,Saturday,3,10,3/10/18,486,4.07,8:21,8:22,7.182,34,0,24,0.33,15:01,15:10,3.96,5,0,510,4.4,39,0,0:39:00,,School,Junior Spring I,,11:00 AM,Happy Birthday to Hope,
Soccer,Sunday,3,11,3/11/18,0,5.23,0,8:37,6.973,45,0,0,0,0,,,0,0,0,5.23,45,0,0:45:00,,School,Junior Spring I,,,Didn't formally run but played soccer. Took a 25 minute walk to PAR Walked to PAR at about 1:40 and ended around at 3:45. Walk was about 1.2 miles. Got a ride back. Plugging in 45 minutes for mathematical purposes.,
,Monday,3,12,3/12/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,School,Junior Spring I,,,Off day,
Ike,Tuesday,3,13,3/13/18,500,4.19,8:20,8:22,7.182,35,0,24,0.33,15:04,15:10,3.96,5,0,524,4.52,40,0,0:40:00,,School,Junior Spring I,,3:20 PM,,
Ike,Wednesday,3,14,3/14/18,715,6,7:59,8:00,7.5,48,0,24,0.33,15:04,15:10,3.96,5,0,739,6.33,53,0,0:53:00,,School,Junior Spring I,,7:00 PM,Hard day. Legs felt good,
Ike,Thursday,3,15,3/15/18,479,4.01,8:13,8:14,7.29,33,0,24,0.33,15:04,15:10,3.96,5,0,503,4.34,38,0,0:38:00,,School,Junior Spring I,,11:20 AM,,
Ike,Friday,3,16,3/16/18,695,5.82,8:14,8:15,7.275,48,0,24,0.33,14:58,15:10,3.96,5,0,719,6.15,53,0,0:53:00,,School,Junior Spring I,,11:10 AM,Hard,
,Saturday,3,17,3/17/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Junior Spring Break 2018,,,Off day,
WN Track,Sunday,3,18,3/18/18,419,3.86,7:47,7:47,7.72,30,0,0,0.36,15:44,15:45,3.811,5,40,419,4.22,35,40,0:35:40,,Home,Junior Spring Break 2018,,11:00 AM,,
Outside,Monday,3,19,3/19/18,666,6.27,7:59,7:59,7.524,50,0,0,0.31,16:07,16:08,3.72,5,0,666,6.58,55,0,0:55:00,,Home,Junior Spring Break 2018,,9:50 AM,Hard. Heel started hurting during 46th and 49th minute. No pain during the day,
Outside,Tuesday,3,20,3/20/18,460,4.14,0,7:59,7.527,33,0,0,0.32,0,18:45,3.2,6,0,460,4.46,39,0,0:39:00,,Home,Junior Spring Break 2018,,3:30 PM,,
,Wednesday,3,21,3/21/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Junior Spring Break 2018,,,Got back from the hospital very early this morning. Spent entire day in bed. Couldn't run. Bad diarrhea. Tried to eat soup,
,Thursday,3,22,3/22/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Junior Spring Break 2018,,,,
,Friday,3,23,3/23/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,0:00:00,,Home,Junior Spring Break 2018,,,,
Outside,Saturday,3,24,3/24/18,369,3.41,0,8:48,6.82,30,0,0,0.31,0,16:08,3.72,5,0,369,3.72,35,0,0:35:00,,Home,Junior Spring Break 2018,,11:05 AM,Running outside in cold is very hard. 33 degrees,
Ike,Sunday,3,25,3/25/18,374,3.14,7:56,7:58,7.536,25,0,24,0.33,15:04,15:10,3.96,5,0,398,3.47,30,0,0:30:00,,School,Junior Spring II,,9:30 PM,Side cramp around 24th minute,
