Year,Ranking,Song,Album,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6
2018,75,2 Bitches,2 Bitches,Young Thug,,,,,
2018,76,Right Above It,I Am Not A Human Being,Lil Wayne,Drake,,,,
2018,77,Hands On The Wheel,Hands On The Wheel,ScHoolboy Q,A$AP Rocky,,,,
2018,78,Love Story,Fearless,Taylor Swift,,,,,
2018,79,Fight Night,No Label II,Migos,,,,,
2018,80,Makes Me Wonder,It Won't Be Soon Before Long.,Maroon 5,,,,,
2018,81,Tremble (Studio Version),Unknown - EP,Mosaic MSC,,,,,
2018,82,Mad Love,Mad Love,Sean Paul,David Guetta,Becky G,,,
2018,83,Mail Long,Big Bossin Vol. 2,Payroll Giovanni & Cardo,E-40,,,,
2018,84,All In,Smoke & Mirrows (Deluxe),Lifehouse,,,,,
2018,85,Bussin Juggs,"Hip Hop Early, Vol. 14",Gucci Mane,,,,,
2018,86,I'm So Sorry (feat. Young Thug),I'm So Sorry (feat. Young Thug),Spenzo,Young Thug,,,,
2018,87,Got Money,Tha Carter III,Lil Wayne,T-Pain,,,,
2018,88,Ill Mind of Hopsin 5,Ill Mind of Hopsin 5 - Single,Hopsin,,,,,
2018,89,Headlines,Take Care (Deluxe),Drake,,,,,
2018,90,HeadBand (feat. 2 Chainz),Underground Luxury,B.o.B,2 Chainz,,,,
2018,91,Pompeii,Pompeii,Josh Golden,Savannah Outen,,,,
2018,92,The Middle,The Middle,Zedd,Maren Morris,Grey,,,
2018,93,Only Just A Call Away,Everybody Wants,The Struts,,,,,
2018,94,City In Silhouettes,The Golden Age of Knowhere,Funeral Party,,,,,
2018,95,HUMBLE.,DAMN.,Kendrick Lamar,,,,,
2018,96,All Eyes On You (feat. Chris Brown & Nicki Minaj),Dreams Worth More Than Money,Meek Mill,Chris Brown,Nicki Minaj,,,
2018,97,Oten,Beauty Behind The Madness,The Weeknd,,,,,
2018,98,Live It Well,Where The Light Shines Through,Switchfoot,,,,,
2018,99,679 (feat. Remy Boyz,679 (feat. Remy Boyz,Fetty Wap,Remy Boyz,,,,
2018,100,Energy,If You're Reading This It's Too Late,Drake,,,,,
2017,1,Lonely Love Song,Spectacular! (Music from the Nickelodeon Original Movie),Spectacular! Cast,,,,,
2017,2,All About Us,My Forever,He Is We,Owl City,,,,
2017,3,Give Me Faith,Kingdom Come,Elevation Worship,,,,,
