,,,,,Run,,,,,,,Cooldown,,,,,,,TOTAL,,,,,,,,
Location,Day,Month,Day,Date,Run Calories,Run Distance,Average Pace,Average Pace Kevin,MPH Kevin,Run Minutes,Run Seconds,Walk Calories,Walk Distance,Average Pace,Average Pace Kevin,MPH Kevin,Walk Minutes,Walk Seconds,Calories,Distance,Minutes,Seconds,Time,Start Time,,,
Ike,Thursday,3,8,03/08/18,428,3.59,8:21,08:22,7.180,30,0,5,0.06,15:01,16:40,3.600,1,0,433,3.65,31,0,0:31:00,6:05 PM,,,
Ike,Friday,3,9,03/09/18,679,5.68,8:15,08:17,7.251,47,0,24,0.34,15:01,14:43,4.080,5,0,703,6.02,52,0,0:52:00,11:10 AM,,,
Ike,Saturday,3,10,03/10/18,486,4.07,8:21,08:22,7.182,34,0,24,0.33,15:01,15:10,3.960,5,0,510,4.40,39,0,0:39:00,11:00 AM,,,
Soccer,Sunday,3,11,03/11/18,0,5.23,0,08:37,6.973,45,0,0,0,0,,,0,0,0,5.23,45,0,0:45:00,,,,
,Monday,3,12,03/12/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
Ike,Tuesday,3,13,03/13/18,500,4.19,8:20,08:22,7.182,35,0,24,0.33,15:04,15:10,3.960,5,0,524,4.52,40,0,0:40:00,3:20 PM,,,
Ike,Wednesday,3,14,03/14/18,715,6.00,7:59,08:00,7.500,48,0,24,0.33,15:04,15:10,3.960,5,0,739,6.33,53,0,0:53:00,7:00 PM,,,
Ike,Thursday,3,15,03/15/18,479,4.01,8:13,08:14,7.290,33,0,24,0.33,15:04,15:10,3.960,5,0,503,4.34,38,0,0:38:00,11:20 AM,,,
Ike,Friday,3,16,03/16/18,695,5.82,8:14,08:15,7.275,48,0,24,0.33,14:58,15:10,3.960,5,0,719,6.15,53,0,0:53:00,11:10 AM,,,
,Saturday,3,17,03/17/18,0,0,0,,,0,0,0,0,0,,,0,0,0,0.00,0,0,0:00:00,,,,
WN Track,Sunday,3,18,03/18/18,419,3.86,7:47,07:47,7.720,30,0,0,0.36,15:44,15:45,3.811,5,40,419,4.22,35,40,0:35:40,11:00 AM,,,
Outside,Monday,3,19,03/19/18,666,6.27,7:59,07:59,7.524,50,0,0,0.31,16:07,16:08,3.720,5,0,666,6.58,55,0,0:55:00,9:50 AM,,,
