,,,,Run,,,,,,,Cooldown,,,,,,,TOTAL,,,,Notes
Location,Day,Month,Day,Run Calories,Run Distance,Average Pace,Average Pace Kevin,MPH Kevin,Run Minutes,Run Seconds,Walk Calories,Walk Distance,Average Pace,Average Pace Kevin,MPH Kevin,Walk Minutes,Walk Seconds,Calories,Distance,Minutes,Seconds,
Ike,Tuesday,3,13,500,4.19,8:20,08:22,7.182,35,0,24,0.33,15:04,15:10,3.96,5,0,524,4.52,40,0,
Ike,Wednesday,3,14,715,6,7:59,08:00,7.5,48,0,24,0.33,15:04,15:10,3.96,5,0,739,6.33,53,0,Hard day. Legs felt good
Ike,Thursday,3,15,479,4.01,8:13,08:14,7.29,33,0,24,0.33,15:04,15:10,3.96,5,0,503,4.34,38,0,
Ike,Friday,3,16,695,5.82,8:14,08:15,7.275,48,0,24,0.33,14:58,15:10,3.96,5,0,719,6.15,53,0,Hard
,Saturday,3,17,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Off day
WN,Sunday,3,18,419,3.86,7:47,07:47,7.72,30,0,0,0.36,15:44,15:45,3.811,5,40,419,4.22,35,40,
Herrick,Monday,3,19,666,6.27,7:59,07:59,7.524,50,0,0,0.31,16:07,16:08,3.72,5,0,666,6.58,55,0,Hard. Heel started hurting during 46th and 49th minute. No pain during the day
Herrick,Tuesday,3,20,460,4.14,0,07:59,7.527,33,0,0,0.32,0,18:45,3.2,6,0,460,4.46,39,0,
,Wednesday,3,21,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Got back from the hospital very early this morning. Spent entire day in bed. Couldn't run. Bad diarrhea. Tried to eat soup
,Thursday,3,22,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Friday,3,23,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Herrick,Saturday,3,24,369,3.41,0,08:48,6.82,30,0,0,0.31,0,16:08,3.72,5,0,369,3.72,35,0,Running outside in cold is very hard. 33 degrees
Ike,Sunday,3,25,374,3.14,7:56,07:58,7.536,25,0,24,0.33,15:04,15:10,3.96,5,0,398,3.47,30,0,Side cramp around 24th minute
Ike,Monday,3,26,697,5.84,8:12,08:14,7.3,48,0,24,0.33,15:04,15:10,3.96,5,0,721,6.17,53,0,
Ike,Tuesday,3,27,477,4,8:14,08:15,7.272,33,0,24,0.33,15:04,15:10,3.96,5,0,501,4.33,38,0,
,Wednesday,3,28,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Ike,Thursday,3,29,695,5.82,8:14,08:15,7.275,48,0,24,0.33,15:01,15:10,3.96,5,0,719,6.15,53,0,
Ike,Friday,3,30,479,4.02,8:12,08:13,7.309,33,0,25,0.33,15:04,15:10,3.96,5,0,504,4.35,38,0,
Ike,Saturday,3,31,172,1.44,8:17,08:20,7.2,12,0,12,0.16,15:01,15:00,4,2,24,184,1.6,14,24,Tried getting in a run before the Final Four games. Stomach was still somewhat full from food. Ate at 12:30ish and ran around 3. Stomach cramps and had to end early.
Ike,Sunday,4,1,725,6.07,8:14,08:15,7.284,50,0,24,0.33,15:04,15:10,3.96,5,0,749,6.4,55,0,"If you want to be the best, you have to be willing to do what nobody has done."
Ike,Monday,4,2,479,4.01,8:13,08:14,7.29,33,0,24,0.33,14:58,15:10,3.96,5,0,503,4.34,38,0,"Legs sore hours after run. But if you wanna be great, you have to do what others aren't willing to do"
Ike,Tuesday,4,3,715,6,7:59,08:00,7.5,48,0,24,0.34,15:04,14:43,4.08,5,0,739,6.34,53,0,
Ike,Wednesday,4,4,479,4.01,8:12,08:14,7.29,33,0,24,0.34,15:04,14:43,4.08,5,0,503,4.35,38,0,
Soccer,Thursday,4,5,0,0,0,,,0,1,0,0,0,,,0,0,0,0,0,1,Didn't formally run but played 20 minutes in a soccer . Ankle hurt bad after game. I'm guessing that I ran about 2-3 miles over the 20 minutes
Ike,Friday,4,6,285,2.39,7:55,07:57,7.547,19,0,18,0.26,14:57,14:37,4.105,3,48,303,2.65,22,48,Ankle still hurts from soccer yesterday. Right heel also experienced pain underneath foot so I stopped the run early today.
Ike,Saturday,4,7,728,6.2,7:53,07:55,7.591,49,0,25,0.35,15:01,14:18,4.2,5,0,753,6.55,54,0,Hard. For Lex
Ike,Sunday,4,8,480,4.02,8:12,08:13,7.309,33,0,24,0.33,14:58,15:10,3.96,5,0,504,4.35,38,0,Felt great today
Ike,Monday,4,9,487,4.09,7:48,07:50,7.668,32,0,24,0.34,14:55,14:43,4.08,5,0,511,4.43,37,0,
,Tuesday,4,10,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Off day
Ike,Wednesday,4,11,755,6.34,7:54,07:54,7.608,50,0,24,0.34,14:58,14:43,4.08,5,0,779,6.68,55,0,Hard. For Lex
Ike,Thursday,4,12,480,4.04,7:54,07:56,7.575,32,0,24,0.33,15:04,15:10,3.96,5,0,504,4.37,37,0,Tired. But for you Lex.
Ike,Friday,4,13,747,6.41,7:47,07:49,7.692,50,0,24,0.33,15:04,15:10,3.96,5,0,771,6.74,55,0,
Ike,Saturday,4,14,0,3.63,0,08:00,7.51,29,0,0,0,0,,,0,0,0,3.63,29,0,GASSED. Meant to press Cool down but accidentally pressed STOP
,Sunday,4,15,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Ike,Monday,4,16,715,6,7:59,08:00,7.5,48,0,24,0.34,14:58,14:43,4.08,5,0,739,6.34,53,0,
Ike,Tuesday,4,17,477,4.01,7:58,07:59,7.518,32,0,24,0.33,15:04,15:10,3.96,5,0,501,4.34,37,0,
Ike,Wednesday,4,18,763,6.42,7:47,07:48,7.704,50,0,24,0.33,15:04,15:10,3.96,5,0,787,6.75,55,0,HARD for Bae-lexis
,Thursday,4,19,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,"Heart cramp after 5 minutes, off day"
Ike,Friday,4,20,479,4.01,8:13,08:14,7.29,33,0,24,0.33,15:04,15:10,3.96,5,0,503,4.34,38,0,
Ike,Saturday,4,21,478,4.01,7:58,07:59,7.518,32,0,24,0.33,14:58,15:10,3.96,5,0,502,4.34,37,0,
,Sunday,4,22,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Ike,Monday,4,23,774,6.52,7:39,07:41,7.824,50,0,24,0.33,14:57,15:10,3.96,5,0,798,6.85,55,0,
Ike,Tuesday,4,24,443,3.68,8:56,08:59,6.69,33,0,24,0.33,15:04,15:10,3.96,5,0,467,4.01,38,0,
,Wednesday,4,25,0,0,0:00,,,0,0,0,0,0:00,,,0,0,0,0,0,0,
Ike,Thursday,4,26,784,6.61,7:33,07:34,7.932,50,0,24,0.33,15:04,15:10,3.96,5,0,808,6.94,55,0,
Ike,Friday,4,27,353,2.96,8:11,08:13,7.313,24,17,24,0.32,15:01,15:10,3.958,4,51,377,3.28,29,8,
,Saturday,4,28,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Sunday,4,29,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Ike,Monday,4,30,723,6.08,7:48,07:49,7.68,47,30,24,0.33,15:01,15:10,3.96,5,0,747,6.41,52,30,Took a few days off from running because I've been so busy from finals.
,Tuesday,5,1,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Ike,Wednesday,5,2,478,4.02,7:57,07:58,7.537,32,0,24,7:55,15:04,15:10,3.96,5,0,502,4.35,37,0,
,Thursday,5,3,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Friday,5,4,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Ike,Saturday,5,5,287,2.44,8:11,08:12,7.32,20,0,20,0.26,14:57,15:24,3.9,4,0,307,2.7,24,0,
Ike,Sunday,5,6,477,4.01,7:58,07:59,7.518,32,0,24,0.33,15:04,15:10,3.96,5,0,501,4.34,37,0,
,Monday,5,7,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Tuesday,5,8,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Wednesday,5,9,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Thursday,5,10,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Friday,5,11,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Saturday,5,12,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Sunday,5,13,387,3.55,0,09:01,6.656,32,0,0,0.4,0,17:30,3.428,7,0,387,3.95,39,0,
,Monday,5,14,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Tuesday,5,15,401,3.67,0,08:11,7.34,30,0,0,0.33,0,15:34,3.857,5,8,401,4,35,8,
,Wednesday,5,16,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Thursday,5,17,406,3.78,0,08:13,7.316,31,0,0,0.27,0,16:40,3.6,4,30,406,4.05,35,30,
,Friday,5,18,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Saturday,5,19,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Played volleyball at the Mamlic's house at Ryan's grad party and entire body was sore for days afterwards
,Sunday,5,20,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Monday,5,21,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Tuesday,5,22,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Wednesday,5,23,389,3.55,0,08:28,7.1,30,0,0,0.4,0,17:30,3.428,7,0,389,3.95,37,0,
,Thursday,5,24,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Friday,5,25,366,3.51,0,08:33,7.02,30,0,0,0.1,0,16:41,3.6,1,40,366,3.61,31,40,
,Saturday,5,26,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Sunday,5,27,388,3.53,0,08:30,7.06,30,0,0,0.37,0,16:13,3.7,6,0,388,3.9,36,0,91 degrees out
,Monday,5,28,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Tuesday,5,29,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Wednesday,5,30,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Thursday,5,31,382,3,0,08:29,7.077,25,26,0,1.06,0,17:31,3.425,18,34,382,4.06,44,0,
,Friday,6,1,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Saturday,6,2,296,2.73,0,08:34,7.014,23,21,0,0.25,0,16:41,3.6,4,10,296,2.98,27,31,Stupid Nike Run App crashed during the run so I actually don't know how much I ran and the time either.
,Sunday,6,3,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Monday,6,4,408,3.89,0,08:14,7.293,32,0,0,0.14,0,17:52,3.36,2,30,408,4.03,34,30,
,Tuesday,6,5,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Wednesday,6,6,492,4.51,0,07:59,7.516,36,0,0,0.43,0,17:39,3.402,7,35,492,4.94,43,35,
,Thursday,6,7,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Friday,6,8,428,4.02,0,08:28,7.094,34,0,0,0.26,0,17:19,3.466,4,30,428,4.28,38,30,
,Saturday,6,9,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Sunday,6,10,410,3.57,0,08:31,7.057,30,21,0,0.69,0,18:21,3.272,12,39,410,4.26,43,0,GASSED. Took a 1 minute break (and paused) during the 27th minute. Left heel starting hurting around 31st minute and stopped run entirely. I also went biking with Jack Duggan for about an hour tonight.
,Monday,6,11,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Tuesday,6,12,437,4.16,0,08:54,6.745,37,0,0,0.22,0,18:11,3.3,4,0,437,4.38,41,0,GASSED again. Shirt very sweaty. But perfect love casts out fear
Outside,Wednesday,6,13,429,4.02,0,07:58,7.537,32,0,0,0.24,0,16:41,3.6,4,0,429,4.26,36,0,
,Thursday,6,14,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Friday,6,15,422,4.01,0,08:44,6.874,35,0,0,0.21,0,19:03,3.15,4,0,422,4.22,39,0,http://fightingillini.com/roster.aspx?rp_id=6923
,Saturday,6,16,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
,Sunday,6,17,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Monday,6,18,429,4.09,0,08:34,7.011,35,0,0,0.19,0,19:18,3.109,3,40,429,4.28,38,40,
,Tuesday,6,19,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Wednesday,6,20,247,0,0,,,0,0,0,0,0,,,0,0,247,0,0,0,"Stupid Nike Run App crashed during the run so I actually don't know how much I ran and the time either. I need a new phone. I estimate that I ran 4.1 miles in 36 minutes, with a cooldown of .15 miles in 3 minutes. Pace was 8:41 for first two miles before app crash."
,Thursday,6,21,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Friday,6,22,536,5.13,0,08:47,6.84,45,0,0,0.22,0,18:11,3.3,4,0,536,5.35,49,0,
,Saturday,6,23,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,Balled at Andrew Slivinski's grad party and legs were cashed
Outside,Sunday,6,24,428,4.04,0,08:55,6.733,36,0,0,0.27,0,18:32,3.24,5,0,428,4.31,41,0,
,Monday,6,25,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Tuesday,6,26,440,4.29,0,08:10,7.354,35,0,0,0.11,0,20:10,2.977,2,13,440,4.4,37,13,Started to pour as soon as I went outside. Left heel started to hurt during 35th minute. Had good pace. Wanted to go for 5 miles. Also Nike App sucks. Cooldown was actually like 6 minutes and .3 miles
,Wednesday,6,27,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Thursday,6,28,373,3.06,0,08:50,6.8,27,0,0,1.01,0,18:10,3.305,18,20,373,4.07,45,20,SO GASSED on this run. Not really hydrated at all before I ran. Drank 32oz of water after I was done though
,Friday,6,29,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Saturday,6,30,279,2.69,0,08:34,7.017,23,0,0,0.13,0,15:24,3.9,2,0,279,2.82,25,0,Short run outside before work. It was 88 degrees out. And humid
Outside,Sunday,7,1,518,5.05,0,08:37,6.965,43,30,0,0.17,0,17:39,3.4,3,0,518,5.22,46,30,Alexis Carrillo / Carly Thomas. About 78 degrees. Love you. Kept strong pace throughout run.
,Monday,7,2,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0,
Outside,Tuesday,7,3,378,3.21,0,08:47,6.833,28,11,0,0.81,0,17:18,3.471,14,0,378,4.02,42,11,GASSED. Took a 2 minute break right after the 3rd mile. Then ran for 2 minutes after that. And was gassed. 2 minute break is included in cooldown. 91 degrees out
