Kevin,Person,Date,Sport,Legs,#VALUE!,End,#VALUE!,#VALUE!,#VALUE!,Barstool Boost,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Kevin,No,Barstool,Self,Help,Help,,Blank,Box Score,Help,Kevin
Kevin,Person,Date,Sport,Legs,Wager,End,Payout,Description,Notes,Boost,Before,After,To Win,To Profit,Influence,Live,Sportsbook,Venmo,Sponsor,Cash Back?,,,,,
21,Kevin,1/2/2022,Soccer,1,$100.00,L,-$100.00,Liverpool ML 1st Half (Chelsea vs Liverpool),Liverpool ML 1st Half (Chelsea vs Liverpool),None,-255,-255,$139.21,$39.21,Kevin,Yes,DK,Self,,,THIS got to -8000,,,-$100.00,
22,Kevin,1/2/2022,NFL,4,$72.00,L,-$72.00,"IND COLTS TO WIN (VS. LV RAIDERS), NO SAINTS TO WIN (VS. CAR PANTHERS), OVER 39.5 TOTAL POINTS IN LA RAMS VS. BAL RAVENS, AND OVER 41.5 TOTAL POINTS IN ARI CARDINALS VS. DAL COWBOYS","Big Cat's Can't Lose Parlay - Back Big Cat: Yes - IND COLTS TO WIN (VS. LV RAIDERS), NO SAINTS TO WIN (VS. CAR PANTHERS), OVER 39.5 TOTAL POINTS IN LA RAMS VS. BAL RAVENS, AND OVER 41.5 TOTAL POINTS IN ARI CARDINALS VS. DAL COWBOYS (BOOSTED FROM +200) (1/2)",Barstool Boost,200,300,$288.00,$216.00,Kevin,No,Barstool,Self,,,,,,-$72.00,
23,,,,,,,,,,,,,,,,,,,,,,,,,
24,Kevin,1/3/2022,NBA,1,$50.00,L,-$50.00,"Kevin Durant, Joel Embiid, and DeMar DeRozan to Score 90+ Combined Points (1/3)","Kevin Durant, Joel Embiid, and DeMar DeRozan to Score 90+ Combined Points (1/3)",FD Boost,130,180,$140.00,$90.00,Kevin,No,Fan Duel,Self,,,,,,-$50.00,
25,Kevin,1/3/2022,NFL,1,$50.00,L,-$50.00,MNF Flash Boost - Nick Chubb to Score 1+ TDs and Ben Roethlisberger to Pass for 200+ Yards (1/3),MNF Flash Boost - Nick Chubb to Score 1+ TDs and Ben Roethlisberger to Pass for 200+ Yards (1/3),FD Boost,135,200,$150.00,$100.00,Kevin,No,Fan Duel,Self,,,,,,-$50.00,
26,Kevin,1/3/2022,NBA,1,$50.00,L,-$50.00,Chicago Bulls -8 1st Half (Orlando Magic @ Chicago Bulls),Chicago Bulls -8 1st Half (Orlando Magic @ Chicago Bulls),Boost-AnyBet-NBA,-110,109,$104.54,$54.54,Kevin,No,DK,Self,,,,,,-$50.00,
27,Kevin,1/3/2022,NFL,1,$25.00,L,-$25.00,4 leg NFL SGP (Cleveland Browns @ Pittsburgh Steelers),"4 leg NFL SGP (Cleveland Browns @ Pittsburgh Steelers). Nick Chubb - Anytime TD Scorer, Cleveland Browns - Over 1.5 Team Total TDs, Cleveland Browns - Over 16.5 Team Total Points, Cleveland Browns - Over 0.5 Team Total TDs 1st Half. Combined +155, no boost",None,155,155,$63.75,$38.75,Kevin,No,DK,Self,,,,,,-$25.00,
28,Kevin,1/3/2022,NBA,1,$50.00,W,$53.04,Over 199.5 (Orlando Magic @ Chicago Bulls),Over 199.5 (Orlando Magic @ Chicago Bulls),Boost-AnyBet-NBA,-115,106,$103.04,$53.04,Kevin,Yes,DK,Self,,,,,,$53.04,
29,Kevin,1/3/2022,NBA,1,$135.91,L,-$135.91,"DEMAR DEROZAN, ZACH LAVINE, AND LONZO BALL TO RECORD 95+ COMBINED POINTS, REBOUNDS & ASSISTS VS. ORL MAGIC","Bet With Barstool Chicago - Back Barstool Chicago: Yes - DEMAR DEROZAN, ZACH LAVINE, AND LONZO BALL TO RECORD 95+ COMBINED POINTS, REBOUNDS & ASSISTS VS. ORL MAGIC (BOOSTED FROM -120) (1/3)",Barstool Boost,-110,110,$285.41,$149.50,Kevin,No,Barstool,Self,,,,,,-$135.91,
30,Kevin,1/3/2022,NFL,4,$20.00,L,-$20.00,4 leg NFL SGP (Cleveland Browns @ Pittsburgh Steelers),"4 leg NFL SGP (Cleveland Browns @ Pittsburgh Steelers). Cleveland Browns - Over 9.5 Team Total Points 1st Half -143, Over 7.5 Total Points 1st Quarter -103, Cleveland Browns +10.5 -335, Nick Chubb - Anytime TD Scorer -104. Combined +420, no boost",None,420,420,$104.00,$84.00,Kevin,No,Barstool,Self,,,,,,-$20.00,
