Kevin,Person,Date,Sport,Legs,#VALUE!,End,#VALUE!,#VALUE!,#VALUE!,Barstool Boost,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Kevin,No,Barstool,Self,Help,Help,,Blank,Box Score,Help,Kevin
Kevin,Person,Date,Sport,Legs,Wager,End,Payout,Description,Notes,Boost,Before,After,To Win,To Profit,Influence,Live,Sportsbook,Venmo,Sponsor,Cash Back?,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,
242,Kevin,2/5/2022,NCAAB,3,$50.00,L,-$50.00,"CBB Odds Boost - Auburn, Texas Tech, and UCLA All to Win (2/5)","CBB Odds Boost - Auburn, Texas Tech, and UCLA All to Win (2/5)",FD Boost,-125,120,$110.00,$60.00,Kevin,No,Fan Duel,Self,,,,,,,
243,Kevin,2/5/2022,NBA,3,$10.00,L,-$10.00,3 leg NBA SGP (New York Knicks @ Los Angeles Lakers),"3 leg NBA SGP (New York Knicks @ Los Angeles Lakers). New York Knicks ML +168, Over 213.5 Total Points -110, Julius Randle - Over 18.5 Points -116. Combined +623, no boost",None,623,623,$72.38,$62.38,Kevin,No,Fan Duel,Self,,,,,,,
244,Kevin,2/5/2022,NBA,1,$101.49,L,-$101.49,Chris Paul & Devin Booker to record 65+ combined points & assists (2/5),Solar Power: Chris Paul & Devin Booker to record 65+ combined points & assists (2/5),DK Boost,140,160,$263.87,$162.38,Kevin,No,DK,Self,,,,,,,
245,Kevin,2/5/2022,NBA,1,$100.02,W,$230.04,Julius Randle & RJ Barrett to record 60+ combined points & rebounds (2/5),Bing Bong: Julius Randle & RJ Barrett to record 60+ combined points & rebounds (2/5),DK Boost,200,230,$330.06,$230.04,Kevin,No,DK,Self,,,"End of Q1: RJ Barrett 17 points, 4 rebounds; Julius Randle 12 points, 5 rebounds; Combined 38. End of Q2: RJ Barrett 21 points, 4 rebounds; Julius Randle 20 points, 7 rebounds; Combined 52",,,,
246,,,,,,,,,,,,,,,,,,,,,,,,,
247,Kevin,2/6/2022,Soccer,3,$10.00,W,$50.00,3 leg Soccer SGP (Wolfsburg v Greuther Furth),"3 leg Soccer SGP (Wolfsburg v Greuther Furth). Wolfsburg ML -180, Over 1.5 Total Goals -340, Half-Time Result - Draw +120. Combined +520, no boost.",None,520,520,$62.09,$52.09,Kevin,No,Fan Duel,Self,,,,,,,
248,Kevin,2/6/2022,NBA,2,$50.00,W,$80.00,"NBA Odds Boost - Giannis to Record a Double Double and the Bucks to Win v Clippers (Must Play, 2/6)","NBA Odds Boost - Giannis to Record a Double Double and the Bucks to Win v Clippers (Must Play, 2/6)",FD Boost,130,160,$130.00,$80.00,Kevin,No,Fan Duel,Self,,,,,,,
249,Kevin,2/6/2022,NFL,1,$25.00,W,$28.40,Over 62.5 Total Points (AFC @ NFC),Over 62.5 Total Points (AFC @ NFC),DK Special Promo,-110,113,$53.40,$28.40,Kevin,No,DK,Self,,,,,,,
250,Kevin,2/6/2022,NCAAB,1,$50.00,W,$45.45,Minnesota +12.5 (Minnesota @ Iowa),Minnesota +12.5 (Minnesota @ Iowa),None,-110,-110,$95.45,$45.45,KellyInVegas,No,DK,Self,,,,,,,
251,Kevin,2/6/2022,NBA,3,$50.00,W,$69.00,3 leg NBA SGP (Philadelphia 76ers @ Chicago Bulls),"3 leg NBA SGP (Philadelphia 76ers @ Chicago Bulls). Chicago Bulls +11.5, Philadelphia 76ers +8.5, Over 210.5 Total Points. Combined +115, boosted to +138",Boost-SGP-NBA,115,138,$119.00,$69.00,Kevin,No,DK,Self,,,20% boost,,,,
252,Kevin,2/6/2022,NBA,3,$50.00,W,$63.25,3 leg NBA SGP (Philadelphia 76ers @ Chicago Bulls),"3 leg NBA SGP (Philadelphia 76ers @ Chicago Bulls). Chicago Bulls +11.5, Philadelphia 76ers +8.5, Over 210.5 Total Points. Combined +115, boosted to +126",Boost-AnyBet-NBA,115,126,$113.25,$63.25,Kevin,No,DK,Self,,,10% boost,,,,
253,Kevin,2/6/2022,NBA,1,$100.41,L,-$100.41,De'Andre Hunter & Dorian Finney-Smith to combine for 7+ threes/steals (2/6),3 & D: De'Andre Hunter & Dorian Finney-Smith to combine for 7+ threes/steals (2/6),DK Boost,270,310,$411.68,$311.27,Kevin,No,DK,Self,,,,,,-$100.41,
254,Kevin,2/6/2022,NBA,1,$50.00,L,-$50.00,Chicago Bulls +8.5 (Philadelphia 76ers @ Chicago Bulls),Chicago Bulls +8.5 (Philadelphia 76ers @ Chicago Bulls),Boost-AnyBet-NBA,-120,-105,$97.91,$47.91,Kevin,Yes,DK,Self,,,Taken at end of 3rd quarter. Placed at end of third quarter,,,-$50.00,
255,Kevin,2/6/2022,NFL,1,$20.00,L,-$20.00,Jalen Ramsey - Super Bowl XLI MVP (Los Angeles Rams @ Cincinnati Bengals),Jalen Ramsey - Super Bowl XLI MVP (Los Angeles Rams @ Cincinnati Bengals),None,10000,10000,"$2,020.00","$2,000.00",Kevin,No,DK,Self,,,,,,-$20.00,
256,,,,,,,,,,,,,,,,,,,,,,,,,
257,Kevin,2/7/2022,NBA,1,$50.00,W,$120.00,"Fred VanVleet, Stephen Curry, and Klay Thompson to Each Make 3+ Threes (2/7)","Fred VanVleet, Stephen Curry, and Klay Thompson to Each Make 3+ Threes (2/7)",FD Boost,170,240,$170.00,$120.00,Kevin,No,Fan Duel,Self,,,,,,$120.00,
258,Kevin,2/7/2022,NBA,3,$50.00,W,$75.00,3 leg NBA SGP (Phoenix Suns @ Chicago Bulls),"3 leg NBA SGP (Phoenix Suns @ Chicago Bulls). Over 227.5 Total Points, Over 100.5 - Chicago Bulls Team Total Points, Over 107.5 - Phoenix Suns Team Total Points. Combined +100, boosted to +150",Boost-SGP-NBA,100,150,$125.00,$75.00,Tom Fornelli,No,DK,Self,,,,,,$75.00,
259,Kevin,2/7/2022,NBA,1,$100.52,VOID,$0.00,Kemba Walker & Mike Conley to combine for 25+ points (2/7),Age Like Fine Wine: Kemba Walker & Mike Conley to combine for 25+ points (2/7),DK Boost,-105,105,$206.06,$105.54,Kevin,No,DK,Self,,,,,,$0.00,
260,Kevin,2/7/2022,NFL,1,$50.00,W,$50.00,Cooper Kupp - Anytime TD Scorer (Los Angeles Rams @ Cincinnati Bengals),Cooper Kupp - Anytime TD Scorer (Los Angeles Rams @ Cincinnati Bengals),DK Special Promo,-190,100,$100.00,$50.00,Kevin,No,DK,Self,,,,,,$50.00,
261,Kevin,2/7/2022,NBA,3,$67.02,W,$87.13,"MIA HEAT, GS WARRIORS, AND UTA JAZZ ALL TO WIN","NBA Boosts - MIA HEAT, GS WARRIORS, AND UTA JAZZ ALL TO WIN (WAS +105) (2/7)",Barstool Boost,105,130,$154.15,$87.13,Kevin,No,Barstool,Self,,,Kansas was -1800 with about 1:30 to go,,,$87.13,
262,Kevin,2/7/2022,NCAAB,2,$67.02,L,-$67.02,ARIZONA AND KANSAS BOTH TO WIN,NCAAB Boosts - ARIZONA AND KANSAS BOTH TO WIN (WAS +110) (2/7),Barstool Boost,110,130,$154.15,$87.13,Kevin,No,Barstool,Self,,,Utah Jazz -500 with 3:20 to go. Up 3,,,-$67.02,
263,,,,,,,,,,,,,,,,,,,,,,,,,
264,Kevin,2/8/2022,NBA,1,$50.00,L,-$50.00,B/R Betting 3x2 Boost - 2 or More 3-Point FGs Made in the First 3 Minutes of Nets v Celtics (2/8),B/R Betting 3x2 Boost - 2 or More 3-Point FGs Made in the First 3 Minutes of Nets v Celtics (2/8),FD Boost,-115,110,$105.00,$55.00,Kevin,No,Fan Duel,Self,,,,,,-$50.00,
265,Kevin,2/8/2022,NBA,1,$50.00,W,$65.00,B/R Betting 3x2 Boost - 2 or More 3-Point FGs Made in the First 3 Minutes of Lakers v Bucks (2/8),B/R Betting 3x2 Boost - 2 or More 3-Point FGs Made in the First 3 Minutes of Lakers v Bucks (2/8),FD Boost,100,130,$115.00,$65.00,Kevin,No,Fan Duel,Self,,,,,,$65.00,
266,Kevin,2/8/2022,NCAAB,1,$25.00,L,-$25.00,4 leg NCAAB parlay,"4 leg NCAAB parlay. Under 151.5 Total Points -106 (Ohio @ Toledo), Over 130.5 Total Points -108 (Fordham @ St. Bonaventure), Syracruse ML -194 (Syracuse @ Boston College), Villanova ML -182 (Villanova @ St. Johns). Combined +778, no boost",None,778,778,$219.72,$194.72,Kevin,No,Fan Duel,Self,,25,,,,-$25.00,
267,Kevin,2/8/2022,NFL,1,$50.00,L,-$50.00,Joe Burrow - Over 1.5 Passing TDs (Los Angeles Rams @ Cincinnati Bengals),Joe Burrow - Over 1.5 Passing TDs (Los Angeles Rams @ Cincinnati Bengals),DK Special Promo,-170,100,$100.00,$50.00,Kevin,No,DK,Self,,,,,,-$50.00,
268,Kevin,2/8/2022,NHL,5,$135.28,L,-$135.28,"5+ GOALS IN ALL 5 GAMES (INCLUDING OT AND SHOOTOUT): PIT PENGUINS VS. BOS BRUINS, NJ DEVILS VS. MTL CANADIENS, CBJ BLUE JACKETS VS. WAS CAPITALS, MIN WILD VS. WPG JETS, AND VGS GOLDEN KNIGHTS VS. EDM OILERS","Spittin' Chiclets 5 for 5 - Back Chiclets: Yes - 5+ GOALS IN ALL 5 GAMES (INCLUDING OT AND SHOOTOUT): PIT PENGUINS VS. BOS BRUINS, NJ DEVILS VS. MTL CANADIENS, CBJ BLUE JACKETS VS. WAS CAPITALS, MIN WILD VS. WPG JETS, AND VGS GOLDEN KNIGHTS VS. EDM OILERS (BOOSTED FROM +170) (2/8)",Barstool Boost,170,220,$432.90,$297.62,Kevin,No,Barstool,Self,,,,,,-$135.28,
269,Kevin,2/8/2022,NBA,2,$137.36,W,$164.83,GIANNIS ANTETOKOUNMPO AND LEBRON JAMES EACH TO SCORE 25+ POINTS IN MIL BUCKS VS. LA LAKERS,The GPS - Back Marty: Yes - GIANNIS ANTETOKOUNMPO AND LEBRON JAMES EACH TO SCORE 25+ POINTS IN MIL BUCKS VS. LA LAKERS (BOOSTED FROM -105) (2/8),Barstool Boost,-105,120,$302.19,$164.83,Kevin,No,Barstool,Self,,,"End of Q1: Giannis Antetokounmpo 14 points, LeBron James 9 points. End of Q2: Giannis Antetokounmpo 23 points, LeBron James 13 points",,,$164.83,
270,Kevin,2/8/2022,NBA,3,$68.68,W,$109.89,"BOS CELTICS, DAL MAVERICKS, AND MIL BUCKS ALL TO WIN","NBA Boosts - BOS CELTICS, DAL MAVERICKS, AND MIL BUCKS ALL TO WIN (WAS +130) (2/8)",Barstool Boost,130,160,$178.57,$109.89,Kevin,No,Barstool,Self,,,,,,$109.89,
271,,,,,,,,,,,,,,,,,,,,,,,,,
272,Dad,2/9/2022,MLB,1,$50.00,,-$50.00,Chicago White Sox - AL Champions 2022,Chicago White Sox - AL Champions 2022,None,550,550,$325.00,$275.00,Dad,No,Fan Duel,Self,,,,,,-$50.00,
273,Kevin,2/9/2022,Golf,3,$50.00,W,$65.00,"X. Schauffele, H. Matsuyama & S.Scheffler All to Make the Cut (Phoenix Open)","Subpar PGA Boost - X. Schauffele, H. Matsuyama & S.Scheffler All to Make the Cut (Phoenix Open)",FD Boost,-130,130,$115.00,$65.00,Kevin,No,Fan Duel,Self,,,,,,$65.00,
274,Kevin,2/9/2022,NHL,1,$50.00,W,$70.00,2+ Total Goals Scored in 1st Period of Islanders v Canucks (2/9),2+ Total Goals Scored in 1st Period of Islanders v Canucks (2/9),FD Boost,105,140,$120.00,$70.00,Kevin,No,Fan Duel,Self,,,,,,$70.00,
275,Kevin,2/9/2022,NBA,1,$50.00,W,$75.00,LaMelo Ball and Zach LaVine to Score 50+ Combined Points (2/9),NBA Flash Boost - LaMelo Ball and Zach LaVine to Score 50+ Combined Points (2/9),FD Boost,110,150,$125.00,$75.00,Kevin,No,Fan Duel,Self,,,,,,$75.00,
276,Kevin,2/9/2022,NCAAB,4,$25.00,L,-$25.00,4 leg NCAAB parlay,"4 leg NCAAB parlay. Over 153 Total Points -110 (Wake Forest @ NC State), Over 132.5 Total Points -115 (Louisville @ Notre Dame), Seton Hall ML -172 ML (Xavier @ Seton Hall), Florida State -10 -110 (Pittsburgh @ Florida State). Combined +977, no boost",None,977,977,$269.39,$244.39,Kevin,No,Fan Duel,Self,,,,,,-$25.00,
277,Kevin,2/9/2022,NBA,1,$101.33,L,-$101.33,Stephen Curry & Donovan Mitchell to combine for 50+ points (2/9),All-Stars: Stephen Curry & Donovan Mitchell to combine for 50+ points (2/9),DK Boost,-120,-110,$193.44,$92.11,Kevin,No,DK,Self,,,,,,-$101.33,
278,Kevin,2/9/2022,NFL,1,$25.00,L,-$25.00,Los Angeles Rams - First Team to Score (Los Angeles Rams @ Cincinnati Bengals),Los Angeles Rams - First Team to Score (Los Angeles Rams @ Cincinnati Bengals),DK Special Promo,-145,200,$75.00,$50.00,Split,No,DK,Rams 1st Score,,,Ben Shadid,,,-$25.00,
279,Kevin,2/9/2022,NFL,1,$25.00,W,$75.00,Cincinnati Bengals - First Team to Score (Los Angeles Rams @ Cincinnati Bengals),Cincinnati Bengals - First Team to Score (Los Angeles Rams @ Cincinnati Bengals),DK Special Promo,115,200,$75.00,$50.00,Split,No,DK,Rams 1st Score,,,Ben Shadid,,,$75.00,
280,Kevin,2/9/2022,NBA,1,$50.00,W,$45.50,Over 26.5 - TOTAL THREE-POINTERS MADE IN GS WARRIORS VS. UTA JAZZ (2/9),"Bet With Kayce: On Wednesdays, We Bet Overs - Over 26.5 - TOTAL THREE-POINTERS MADE IN GS WARRIORS VS. UTA JAZZ (2/9)",BS Promo,-110,-110,$95.50,$45.50,Kevin,No,Barstool,Self,,,,,,$45.50,
281,Kevin,2/9/2022,Golf,3,$70.20,W,$91.26,"HIDEKI MATSUYAMA, XANDER SCHAUFFELE, AND JORDAN SPIETH ALL TO MAKE THE CUT AT THE 2022 WASTE MANAGEMENT PHOENIX OPEN","Golf Boosts - HIDEKI MATSUYAMA, XANDER SCHAUFFELE, AND JORDAN SPIETH ALL TO MAKE THE CUT AT THE 2022 WASTE MANAGEMENT PHOENIX OPEN (WAS -115)",Barstool Boost,-115,130,$161.46,$91.26,Kevin,No,Barstool,Self,,,,,,$91.26,
282,Kevin,2/9/2022,NHL,1,$133.63,L,-$133.63,FILIP FORSBERG TO SCORE THE FIRST GOAL IN NSH PREDATORS VS. DAL STARS,The People's Puck - Back Chiclets: Yes - FILIP FORSBERG TO SCORE THE FIRST GOAL IN NSH PREDATORS VS. DAL STARS (BOOSTED FROM +1000) (2/9),Barstool Boost,1000,1400,"$2,004.45","$1,870.82",Kevin,No,Barstool,Self,,,,,,-$133.63,
283,,,,,,,,,,,,,,,,,,,,,,,,,
284,Kevin,2/10/2022,NHL,1,$50.00,L,-$50.00,Sidney Crosby to Score 1+ Goals v Ottawa (2/10),Sidney Crosby to Score 1+ Goals v Ottawa (2/10),FD Boost,160,250,$175.00,$125.00,Kevin,No,Fan Duel,Self,,,"Listed as +158 on Barstool , +160 on DK",,,-$50.00,
285,Kevin,2/10/2022,NBA,1,$10.00,L,-$10.00,3 leg NBA SGP (Milwaukee Bucks @ Phoenix Suns),"3 leg NBA SGP (Milwaukee Bucks @ Phoenix Suns). Over 233 Total Points -108, Over 57.5 Total Points - 1st Quarter +100, Devin Booker - First FG Scorer +500. Combined +1662, no boost",None,1662,1662,$176.23,$166.23,Kevin,No,Fan Duel,Self,,,,,,-$10.00,
286,Kevin,2/10/2022,NBA,2,$50.00,L,-$50.00,B/R 3X2 Boost - 2 or More 3-Point FGs Made in the First 3 Minutes in Each of WAS v BKN & PHX v MIL (2/10),B/R 3X2 Boost - 2 or More 3-Point FGs Made in the First 3 Minutes in Each of WAS v BKN & PHX v MIL (2/10),FD Boost,350,450,$275.00,$225.00,Kevin,No,Fan Duel,Self,,,,,,-$50.00,
287,Kevin,2/10/2022,NBA,1,$104.09,L,-$104.09,Giannis Antetokounmpo and Devin Booker to combine for 60+ points (2/10),MVP's?: Giannis Antetokounmpo and Devin Booker to combine for 60+ points (2/10),DK Boost,115,130,$239.40,$135.31,Kevin,No,DK,Self,,,,,,-$104.09,
288,Kevin,2/10/2022,NFL,1,$50.00,L,-$50.00,Odell Beckham - Over 4.5 Receptions (Los Angeles Rams @ Cincinnati Bengals),Odell Beckham - Over 4.5 Receptions (Los Angeles Rams @ Cincinnati Bengals),DK Special Promo,-175,100,$100.00,$50.00,Kevin,No,DK,Self,,,"Under 5.5 is -130, Over 5.5 is +100. Over 4.5 is -175. Did the math and do not want to hedge",,,-$50.00,
289,Kevin,2/10/2022,NBA,1,$141.79,L,-$141.79,GIANNIS ANTETOKOUNMPO AND DEVIN BOOKER EACH TO SCORE 25+ POINTS IN MIL BUCKS VS. PHX SUNS,The GPS - Back Marty: Yes - GIANNIS ANTETOKOUNMPO AND DEVIN BOOKER EACH TO SCORE 25+ POINTS IN MIL BUCKS VS. PHX SUNS (BOOSTED FROM -125) (2/10),Barstool Boost,-125,100,$283.58,$141.79,Kevin,No,Barstool,Self,,,,,,-$141.79,
290,Kevin,2/10/2022,NBA,3,$69.39,L,-$69.39,"MEM GRIZZLIES, MIA HEAT, AND GS WARRIORS ALL TO WIN","NBA Boosts - MEM GRIZZLIES, MIA HEAT, AND GS WARRIORS ALL TO WIN (WAS +120) (2/10)",Barstool Boost,120,145,$170.01,$100.62,Kevin,No,Barstool,Self,,,,,,-$69.39,
291,Kevin,2/10/2022,NHL,1,$50.00,W,$41.50,Over 6 Total Goals (Toronto Maple Leafs @ Falgary Glames),Over 6 Total Goals (Toronto Maple Leafs @ Falgary Glames),None,-121,-121,$91.50,$41.50,Mr. Ice,No,Barstool,Self,,,,,,$41.50,
292,,,,,,,,,,,,,,,,,,,,,,,,,
293,Kevin,2/11/2022,NBA,1,$50.00,W,$50.00,Joel Embiid and DeMar DeRozan to Score 60+ Combined Points (2/11),NBA Happy Hour Boost - Joel Embiid and DeMar DeRozan to Score 60+ Combined Points (2/11),FD Boost,-140,100,$100.00,$50.00,Kevin,No,Fan Duel,Self,,,,,,$50.00,
294,Kevin,2/11/2022,NBA,1,$101.63,L,-$101.63,"Jayson Tatum & Nikola Jokic to combine for 90+ points, rebounds, & assists (2/11)","Jay + Joker: Jayson Tatum & Nikola Jokic to combine for 90+ points, rebounds, & assists (2/11)",DK Boost,110,120,$223.58,$121.95,Kevin,No,DK,Self,,,,,,-$101.63,
295,Kevin,2/11/2022,NFL,1,$50.00,W,$50.00,Joe Mixon - Over 9.5 Rushing Yards 1st Quarter (Los Angeles Rams @ Cincinnati Bengals),Joe Mixon - Over 9.5 Rushing Yards 1st Quarter (Los Angeles Rams @ Cincinnati Bengals),DK Boost,-175,100,$100.00,$50.00,Kevin,No,DK,Self,,,,,,$50.00,
296,Kevin,2/11/2022,NBA,2,$90.00,L,-$90.00,NIKOLA JOKIĆ AND JAYSON TATUM EACH TO SCORE 25+ POINTS IN DEN NUGGETS VS. BOS CELTICS,The GPS - Back Marty: Yes - NIKOLA JOKIĆ AND JAYSON TATUM EACH TO SCORE 25+ POINTS IN DEN NUGGETS VS. BOS CELTICS (BOOSTED FROM +175) (2/11),Barstool Boost,175,215,$283.50,$193.50,Kevin,No,Barstool,Self,,,"End of Q2: Tatum 11 points, 1 rebound, 3 assists; Jokic 8 points, 11 rebounds, 8 assists. End of Q3: Tatum 16 points, 5 rebounds, 3 assists; Jokic 15 points, 13 rebounds, 10 assists",,,-$90.00,
297,Kevin,2/11/2022,NBA,2,$44.07,L,-$44.07,NIKOLA JOKIĆ AND JAYSON TATUM EACH TO SCORE 25+ POINTS IN DEN NUGGETS VS. BOS CELTICS,The GPS - Back Marty: Yes - NIKOLA JOKIĆ AND JAYSON TATUM EACH TO SCORE 25+ POINTS IN DEN NUGGETS VS. BOS CELTICS (BOOSTED FROM +175) (2/11),Barstool Boost,175,215,$138.82,$94.75,Kevin,No,Barstool,Self,,,"End of Q2: Tatum 11 points, 1 rebound, 3 assists; Jokic 8 points, 11 rebounds, 8 assists. End of Q3: Tatum 16 points, 5 rebounds, 3 assists; Jokic 15 points, 13 rebounds, 10 assists",,,-$44.07,
298,Kevin,2/11/2022,NBA,3,$135.08,L,-$135.08,"DEMAR DEROZAN TO SCORE 25+ POINTS, NIKOLA VUČEVIĆ TO RECORD 10+ REBOUNDS, AND CHI BULLS TO WIN VS. MIN TIMBERWOLVES","Bet With Barstool Chicago - Back Barstool Chicago: Yes - DEMAR DEROZAN TO SCORE 25+ POINTS, NIKOLA VUČEVIĆ TO RECORD 10+ REBOUNDS, AND CHI BULLS TO WIN VS. MIN TIMBERWOLVES (BOOSTED FROM +170) (2/11)",Barstool Boost,170,210,$418.75,$283.67,Kevin,No,Barstool,Self,154 DK,,"End of Q2: Derozan 17 points, Vuc 5 rebounds, Bulls up 1. End of Q3: Derozan 19 points, Vuc 8 rebounds, Bulls up 1",,https://www.espn.com/nba/boxscore/_/gameId/401360662,-$135.08,
299,Kevin,2/11/2022,NBA,3,$69.83,L,-$69.83,"CLE CAVALIERS, ATL HAWKS, AND BOS CELTICS ALL TO WIN","NBA Boosts - CLE CAVALIERS, ATL HAWKS, AND BOS CELTICS ALL TO WIN (WAS +160) (2/11)",Barstool Boost,160,190,$202.51,$132.68,Kevin,No,Barstool,Self,,,,,,-$69.83,
300,,,,,,,,,,,,,,,,,,,,,,,,,
301,Kevin,2/12/2022,NCAAB,3,$50.00,W,$55.00,"Kentucky, Auburn & Baylor All to Win (Must Play 2/12)","Kentucky, Auburn & Baylor All to Win (Must Play 2/12)",FD Boost,-110,110,$105.00,$55.00,Kevin,No,Fan Duel,Self,,,,,,$55.00,
302,Kevin,2/12/2022,NBA,4,$10.00,L,-$10.00,4 leg NBA SGP (Los Angeles Lakers @ Golden State Warriors),"4 leg NBA SGP (Los Angeles Lakers @ Golden State Warriors). Golden State Warriors - 1st Half Winner (3 Way) -240, Golden State Warriors - 1st Quarter Winner (3 Way) -185, Golden State Warriors - 11+ Win Margin +140, Under 224.5 Total Points -110. Combined +482, no boost",None,482,482,$58.20,$48.20,Kevin,No,Fan Duel,Self,,,,,,-$10.00,
303,Kevin,2/12/2022,UFC,1,$10.00,L,-$10.00,Derrick Lewis v Tai Tuivasa to End in Round 1 (UFC 271),Derrick Lewis v Tai Tuivasa to End in Round 1 (UFC 271),FD Boost,-135,100,$20.00,$10.00,Kevin,No,Fan Duel,Self,,,,,,-$10.00,
304,Kevin,2/12/2022,NBA,1,$100.50,W,$170.85,Patty Mills & Duncan Robinson to combine for 7+ made 3-pointers (2/12),Sharpshooters: Patty Mills & Duncan Robinson to combine for 7+ made 3-pointers (2/12),DK Boost,150,170,$271.35,$170.85,Kevin,No,DK,Self,,,,,,$170.85,
305,Kevin,2/12/2022,NCAAB,1,$100.00,W,$22.22,UCLA +6.5 (UCLA @ USC),UCLA +6.5 (UCLA @ USC),None,-450,-450,$122.22,$22.22,Kevin,Yes,DK,Self,,,"Taken at halftime, UCLA down 33-31",,,$22.22,
306,Kevin,2/12/2022,NCAAB,3,$68.50,W,$68.50,"AUBURN, BAYLOR, AND KANSAS ALL TO WIN","NCAAB Boosts - NOON HOOPS: AUBURN, BAYLOR, AND KANSAS ALL TO WIN (WAS -125) (2/12)",Barstool Boost,-125,100,$137.00,$68.50,Kevin,No,Barstool,Self,,,,,,$68.50,
307,Kevin,2/12/2022,NCAAB,3,$67.65,W,$91.33,"MICHIGAN STATE, KENTUCKY, AND TEXAS TECH ALL TO WIN","NCAAB Boosts - MIDDAY PARLAY: MICHIGAN STATE, KENTUCKY, AND TEXAS TECH ALL TO WIN (WAS +105) (2/12)",Barstool Boost,105,135,$158.98,$91.33,Kevin,No,Barstool,Self,,,,,,$91.33,
308,Kevin,2/12/2022,NCAAB,3,$69.41,L,-$69.41,"UCLA, GONZAGA, AND BYU ALL TO WIN","NCAAB Boosts - UCLA, GONZAGA, AND BYU ALL TO WIN (WAS +100) (2/12)",Barstool Boost,100,125,$156.17,$86.76,Kevin,No,Barstool,Self,,,"On FanDuel: Gonzaga ML -2500 (Saint Mary's @ Gonzaga), BYU ML -950 (BYU @ Pepperdine), UCLA ML -200 (UCLA @ USC)... Combined -139 on Fan Duel",,,-$69.41,
309,,,,,,,,,,,,,,,,,,,,,,,,,
310,Kevin,2/13/2022,NFL,2,$50.00,W,$75.00,Odell Beckham to Have 50+ Receiving Yards and Rams to Win v Bengals (Super Bowl),Odell Beckham to Have 50+ Receiving Yards and Rams to Win v Bengals (Super Bowl),FD Boost,115,150,$125.00,$75.00,Kevin,No,Fan Duel,Self,,,,,,$75.00,
311,Kevin,2/13/2022,NFL,3,$50.00,L,-$50.00,3 leg NFL SGP (Los Angeles Rams @ Cincinnati Bengals),"3 leg NFL SGP (Los Angeles Rams @ Cincinnati Bengals). Over 48.5 Total Points -112, Los Angeles Rams 1st Half -2.5 -125, Los Angeles Rams -7.5 +150. Cobmined +436, no boost.",None,436,436,$268.05,$218.05,Kevin,No,Fan Duel,Self,,,,,,-$50.00,
312,Kevin,2/13/2022,NBA,1,$926.00,W,$342.96,Boston Celtics ML (Atlanta Hawks @ Boston Celtics),Boston Celtics ML (Atlanta Hawks @ Boston Celtics),None,-270,-270,"$1,268.96",$342.96,Kevin,No,Fan Duel,Self,,,"-270 on DK. About 15 minutes after I locked, lines move from -270 to -320 on FD, and from -290 to -305 to -290 on DK. At 9AM odds are -330 on FD, -290 on DK. At 1030AM odds are -320 on FD, -290 on DK. At 12PM odds are -290 on FD, -275 on DK. At 105 PM (5 minutes before tip) odds are -320 on DK.",,,$342.96,
313,Kevin,2/13/2022,NFL,1,$69.41,W,$86.76,JA'MARR CHASE OR TEE HIGGINS TO RECORD THE FIRST RECEPTION OF THE SECOND HALF IN SUPER BOWL LVI,Super Bowl Live Halftime Boost - JA'MARR CHASE OR TEE HIGGINS TO RECORD THE FIRST RECEPTION OF THE SECOND HALF IN SUPER BOWL LVI (WAS -125) (2/13),Barstool Boost,-125,125,$156.17,$86.76,Kevin,Yes,Fan Duel,Self,,,,,,$86.76,
314,,,,,,,,,,,,,,,,,,,,,,,,,
315,Kevin,2/14/2022,NBA,3,$50.00,L,-$50.00,"Stephen Curry, Patty Mills & Evan Fournier to Each Make 3+ Threes (2/14)","Stephen Curry, Patty Mills & Evan Fournier to Each Make 3+ Threes (2/14)",FD Boost,145,214,$157.00,$107.00,Kevin,No,Fan Duel,Self,,,,,,-$50.00,
316,Kevin,2/14/2022,NBA,2,$50.00,W,$87.50,Josh Hart to Score 15+ Points and Record 6+ Rebounds v Bucks (2/14),Josh Hart to Score 15+ Points and Record 6+ Rebounds v Bucks (2/14),FD Boost,125,175,$137.50,$87.50,Kevin,No,Fan Duel,Self,,,halftime 17-4,,,$87.50,
317,Kevin,2/14/2022,NBA,1,$100.47,W,$236.10,DeMar DeRozan to record 36+ points (2/14),Three Dozen DeRozans: DeMar DeRozan to record 36+ points (2/14),DK Boost,200,235,$336.57,$236.10,Kevin,No,DK,Self,,,"demar 15, DJ 10 halftime",,,$236.10,
318,Kevin,2/14/2022,NHL,1,$100.92,L,-$100.92,Connor McDavid & Patrick Kane to record 4+ combined points (2/14),Stole my Hart: Connor McDavid & Patrick Kane to record 4+ combined points (2/14),DK Boost,280,320,$423.86,$322.94,Kevin,No,DK,Self,,,,,,-$100.92,
319,Kevin,2/14/2022,NBA,1,$25.00,W,$16.66,Chicago Bulls ML (San Antonio Spurs @ Chicago Bulls),Chicago Bulls ML (San Antonio Spurs @ Chicago Bulls),None,-150,-150,$41.66,$16.66,Kevin,No,DK,Self,,,,,,$16.66,
