English,Korean,Romanization,Formal,Informal
I,나,na,,1
You,너,neo,,1
He,그,geu,1,
She,그녀,geunyeo,1,
We,우리,uri,1,1
They,그들 ,geudeul,1,1
Kevin,케빈,kevinsinuen,1,1
I,저는,,1,
We,저희,,1,
You,당신,,1,
,https://storylearning.com/learn/korean/korean-tips/korean-pronouns,,,
